from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916769;489;34232;135;86;33786;178;167;43066;187;156;45087;61;36094;53;36108;34
5785641;5916769;464;32451;137;87;31182;186;170;43272;197;159;45293;58;36304;50;36319;31
5785642;5916769;465;32530;137;87;31182;188;172;43389;197;161;45410;58;30787;50;30802;31
5785643;5916769;469;32823;121;77;29380;197;176;43682;197;165;45703;58;35151;50;35169;31
5787544;5916769;482;33743;132;84;33247;175;160;42576;175;146;44597;60;35668;52;35682;33
5787545;5916769;483;33812;132;84;33247;175;161;42645;175;147;44666;60;35954;52;35969;33
5787546;5916769;486;34038;132;84;33247;178;165;42871;187;154;44892;57;29813;50;29828;31
5787547;5916769;462;32337;137;87;31182;191;177;43770;195;166;47538;57;30204;50;30219;31
5787548;5916769;459;32111;137;87;31182;190;173;43498;194;162;47265;57;30326;50;30340;31
5787549;5916769;461;32245;137;87;31182;191;178;43790;194;167;47558;58;30569;50;30584;31
5787550;5916769;425;29782;121;77;29380;202;161;44845;187;144;51253;58;34950;50;34967;31
5789447;5916769;454;31811;126;80;30485;140;122;47912;137;107;41831;56;33478;49;33493;30
5789448;5916769;454;31808;126;80;30482;140;122;47933;137;107;41851;59;33843;49;33857;30
5789449;5916769;455;31868;126;80;30618;140;123;47994;137;108;41912;57;34269;50;34283;31
5789450;5916769;485;33979;126;80;30618;178;164;42813;187;153;44834;57;34587;50;34602;31
5789451;5916769;486;34018;132;84;33247;178;164;42851;187;153;44872;60;35915;52;35929;33
5789452;5916769;454;31773;132;84;33247;190;172;40365;186;166;50875;57;29712;49;29727;31
5789453;5916769;454;31809;137;87;31182;190;172;40401;186;166;50911;57;29889;50;29904;31
5789454;5916769;456;31896;137;87;31182;190;177;43780;190;167;50998;57;30153;50;30168;31
5789455;5916769;458;32072;121;77;29413;194;176;40664;194;165;44432;58;30374;50;30389;31
5789456;5916769;423;29621;121;77;29413;196;159;44685;190;142;51092;59;34860;52;34878;35
5791353;5916769;460;32170;130;82;31535;143;127;48272;143;112;42190;55;33068;48;33083;30
5791354;5916769;456;31938;125;79;30327;140;124;48040;143;109;41958;57;33659;49;33674;30
5791355;5916769;449;31461;125;79;30240;134;119;47701;137;104;41619;57;33840;49;33855;30
5791356;5916769;450;31523;125;79;30188;140;124;48049;143;109;41967;57;34465;50;34480;31
5791357;5916769;452;31610;126;80;30618;143;126;48118;143;111;42036;57;34579;50;34594;31
