from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916680;345;24133;103;65;24171;146;130;29760;165;134;28540;48;26988;42;26988;29
5785641;5916680;326;22827;102;64;23132;152;133;29966;173;137;28745;50;27199;44;27199;29
5785642;5916680;327;22906;102;64;23132;156;135;30084;173;139;28863;50;26600;44;24824;29
5785643;5916680;331;23199;110;70;25192;167;139;30377;173;143;29156;50;29157;44;27381;29
5787544;5916680;338;23644;100;63;23632;145;123;29271;153;127;28050;47;26562;41;26562;28
5787545;5916680;339;23713;100;63;23632;145;124;29340;153;128;28119;47;26849;41;26849;28
5787546;5916680;342;23938;100;63;23632;146;127;29566;165;132;28345;50;25627;43;23850;29
5787547;5916680;324;22713;102;64;23132;161;140;30465;174;145;29244;50;26018;43;24241;29
5787548;5916680;321;22488;102;64;23132;157;136;30193;172;141;28972;50;26139;44;24363;29
5787549;5916680;323;22622;102;64;23132;161;140;30485;174;145;29264;50;26382;44;24606;29
5787550;5916680;360;25204;110;70;25192;196;165;53792;186;143;50613;50;28956;44;27179;29
5789447;5916680;305;21369;90;57;21533;115;84;26504;117;88;25283;43;24373;38;24373;25
5789448;5916680;309;21649;90;57;21536;115;84;26525;117;88;25304;43;24738;38;24738;25
5789449;5916680;314;21998;91;57;22226;115;85;26585;117;89;25364;44;25163;39;25163;26
5789450;5916680;341;23880;91;57;22226;146;126;29507;165;131;28286;44;25482;39;25482;26
5789451;5916680;342;23918;100;63;23632;146;127;29546;165;131;28325;47;26809;41;26809;28
5789452;5916680;316;22149;100;63;23632;157;134;27059;167;139;25838;49;25526;43;23750;29
5789453;5916680;317;22185;102;64;23132;157;135;27096;167;139;25875;50;25703;43;23926;29
5789454;5916680;318;22272;102;64;23132;157;136;27183;168;145;29254;50;25967;43;24190;29
5789455;5916680;321;22448;110;70;25225;162;139;27359;172;143;26138;50;26187;44;24411;29
5789456;5916680;358;25043;110;70;25225;191;163;53631;188;141;50452;56;28866;50;27090;35
5791353;5916680;313;21915;89;56;21094;115;89;26864;123;93;25643;42;23963;37;23963;25
5791354;5916680;310;21683;90;57;21865;115;85;26632;123;90;25411;44;24554;38;24554;26
5791355;5916680;310;21712;90;57;21778;107;81;26293;117;85;25072;44;24735;38;24735;26
5791356;5916680;313;21899;89;57;22138;115;85;26641;123;90;25420;44;25360;39;25360;26
5791357;5916680;314;21987;91;57;22226;115;88;26709;123;93;25488;44;25474;39;25474;26
5791358;5916680;315;22038;91;57;22226;153;133;26948;165;137;25727;44;25020;39;23244;26
5791359;5916680;312;21840;91;57;22226;147;130;26751;155;134;25530;49;25344;43;23567;29
5791360;5916680;313;21894;102;64;23132;150;131;26805;159;135;25584;49;25712;43;23935;29
5791361;5916680;318;22248;110;70;25225;157;136;27158;167;140;25937;49;26066;43;24290;29
5791362;5916680;322;22559;110;70;25225;162;140;27469;174;145;26248;50;26374;44;24598;29
5791363;5916680;358;25038;110;70;25225;191;163;53626;188;141;50448;56;28762;50;26985;35
5793258;5916680;319;22301;93;59;22339;124;94;27250;129;99;26029;45;25227;39;25227;27
5793259;5916680;314;22000;92;58;22283;120;90;26950;123;94;25729;44;25067;38;25067;26
5793260;5916680;315;22035;91;58;21869;120;90;26984;123;95;25763;44;25031;38;25031;26
5793261;5916680;310;21710;89;56;21925;115;84;26429;117;89;25208;44;24812;38;24812;26
5793262;5916680;309;21606;89;56;21967;115;84;26427;117;89;25206;44;25237;39;25237;26
5793263;5916680;309;21654;89;56;21967;120;89;26010;123;93;24789;45;26343;39;26343;26
5793264;5916680;308;21585;88;56;21679;147;126;26495;152;131;25274;49;24965;43;23188;28
5793265;5916680;309;21625;88;56;21617;147;127;26536;153;131;25315;49;25297;43;23521;28
5793266;5916680;309;21634;93;59;21662;147;127;26545;153;132;25324;49;25494;43;23718;28
5793267;5916680;320;22409;93;59;21662;161;138;27319;170;143;26098;49;26289;43;24513;28
5793268;5916680;326;22806;110;70;25225;170;148;25577;173;148;26496;50;26515;44;24739;29
