from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916667;378;26485;101;64;26329;144;131;31801;167;136;32089;42;27887;38;27887;26
5785641;5916667;364;25468;109;69;25570;150;134;32006;173;133;29587;45;28098;39;28098;26
5785642;5916667;365;25547;109;69;25570;155;135;32124;173;135;29705;45;27925;39;26148;26
5785643;5916667;369;25840;118;75;27630;165;140;32417;173;139;29998;45;30481;40;28705;26
5787544;5916667;371;25996;98;62;25790;144;124;31311;155;128;31599;42;27461;37;27461;25
5787545;5916667;372;26064;98;62;25790;144;125;31380;155;129;31668;42;27748;37;27748;25
5787546;5916667;376;26290;98;62;25790;144;128;31606;167;134;31894;44;26951;39;25174;25
5787547;5916667;362;25354;109;69;25570;159;141;32505;173;141;30086;44;27342;39;25565;25
5787548;5916667;359;25128;109;69;25570;155;137;32233;170;137;29814;44;27463;39;25687;25
5787549;5916667;361;25263;109;69;25570;159;141;32525;173;141;30106;45;27706;40;25930;26
5787550;5916667;398;27845;118;75;27630;200;171;56196;172;129;36724;45;30280;40;28504;26
5789447;5916667;339;23721;89;56;23691;108;84;28544;118;89;28832;38;25271;33;25271;22
5789448;5916667;343;24001;89;56;23694;108;85;28565;118;89;28853;38;25636;33;25636;22
5789449;5916667;348;24350;91;57;24384;108;85;28625;118;90;28913;39;26062;34;26062;23
5789450;5916667;375;26232;91;57;24384;144;127;31548;167;133;31836;39;26381;34;26381;23
5789451;5916667;375;26270;98;62;25790;144;128;31586;167;133;31874;42;27708;37;27708;25
5789452;5916667;354;24790;98;62;25790;155;135;29100;166;135;26680;44;26850;39;25074;25
5789453;5916667;355;24826;109;69;25570;155;136;29136;166;135;26717;44;27027;39;25250;25
5789454;5916667;356;24913;109;69;25570;155;137;29223;166;141;30095;44;27291;39;25514;25
5789455;5916667;358;25090;118;75;27663;159;139;29399;170;139;26980;45;27512;40;25735;26
5789456;5916667;395;27684;118;75;27663;196;169;56035;172;127;36564;51;30190;46;28414;32
5791353;5916667;347;24267;87;55;23253;110;89;28904;125;94;29192;37;24862;32;24862;22
5791354;5916667;343;24035;90;57;24023;108;86;28672;125;91;28960;38;25453;34;25453;23
5791355;5916667;344;24064;90;57;23936;99;78;26192;118;86;28621;38;25634;34;25634;22
5791356;5916667;349;24412;91;58;24414;108;86;28681;125;91;28969;39;26259;34;26259;23
5791357;5916667;352;24628;91;57;24384;110;89;28749;125;94;29037;39;26373;34;26373;23
5791358;5916667;353;24679;91;57;24384;150;134;28988;163;133;26569;39;26344;34;24568;23
5791359;5916667;350;24481;91;57;24384;144;131;28791;156;136;29079;44;26668;39;24891;25
5791360;5916667;351;24535;109;69;25570;147;132;28845;159;131;26426;44;27036;39;25259;25
5791361;5916667;356;24889;118;75;27663;155;137;29198;166;136;26779;44;27390;39;25614;25
5791362;5916667;360;25200;118;75;27663;159;141;29510;173;141;27090;44;27698;39;25922;26
5791363;5916667;395;27679;118;75;27663;196;169;56030;172;127;36559;51;30086;46;28309;32
5793258;5916667;352;24653;91;58;24498;120;95;29290;131;100;29578;39;26126;35;26126;23
5793259;5916667;348;24352;91;57;24441;114;91;28990;125;95;29278;38;25966;34;25966;23
5793260;5916667;348;24387;90;57;24028;114;91;29024;125;96;29312;38;25930;34;25930;23
5793261;5916667;348;24347;90;57;24201;108;85;28469;118;90;28757;39;25711;34;25711;23
5793262;5916667;346;24247;91;57;24310;108;85;28467;118;90;28755;39;26136;34;26136;23
5793263;5916667;347;24294;91;57;24310;114;90;28050;125;94;28338;39;27242;34;27242;23
5793264;5916667;346;24226;94;59;24117;144;127;28535;153;133;28823;43;26289;38;24512;25
5793265;5916667;347;24266;94;59;24055;144;128;28576;153;133;28864;43;26621;38;24845;25
5793266;5916667;347;24275;100;64;24100;144;128;28585;153;133;28873;44;26818;38;25042;25
5793267;5916667;358;25050;100;64;24100;159;139;29359;167;139;26940;44;27613;38;25837;25
5793268;5916667;364;25447;118;75;27663;167;144;28770;173;144;27338;44;27840;39;26063;26
5793269;5916667;393;27545;115;73;27183;202;178;56711;172;137;37240;50;26652;45;24875;31
