from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916675;352;24649;105;66;24752;135;116;29315;159;128;29315;48;26865;43;30454;29
5785641;5916675;333;23343;103;65;23734;141;119;29521;167;131;29521;50;27076;44;30665;29
5785642;5916675;335;23422;103;65;23734;146;120;29639;167;132;29639;50;26477;44;24701;29
5785643;5916675;339;23716;112;71;25794;157;125;29932;167;137;29932;50;29034;44;27257;29
5787544;5916675;345;24160;102;64;24213;134;109;28826;146;119;28826;47;26439;42;30028;28
5787545;5916675;346;24229;102;64;24213;134;110;28895;146;120;28895;47;26725;42;30315;28
5787546;5916675;349;24455;102;64;24213;135;113;29121;159;125;29121;50;25503;44;23727;29
5787547;5916675;332;23229;103;65;23734;151;126;30020;167;138;30020;50;25894;44;24118;29
5787548;5916675;329;23004;103;65;23734;146;122;29748;164;134;29748;50;26016;44;24239;29
5787549;5916675;331;23138;103;65;23734;151;126;30040;167;138;30040;50;26259;44;24482;29
5787550;5916675;367;25720;112;71;25794;192;158;56822;179;136;37125;50;28832;44;27056;29
5789447;5916675;313;21885;92;58;22114;99;69;26059;109;79;26059;43;24249;38;27839;25
5789448;5916675;317;22166;92;58;22117;99;70;26079;109;80;26079;43;24614;38;28203;25
5789449;5916675;322;22514;92;59;22807;99;70;26140;109;80;26140;44;25040;39;28629;26
5789450;5916675;349;24396;92;59;22807;135;112;29062;159;124;29062;44;25358;39;28948;26
5789451;5916675;349;24434;102;64;24213;135;113;29100;159;125;29100;47;26686;42;30275;28
5789452;5916675;324;22665;102;64;24213;146;120;26614;158;132;26614;49;25402;44;23626;28
5789453;5916675;324;22702;103;65;23734;146;121;26651;158;133;26651;50;25579;44;23803;29
5789454;5916675;326;22788;103;65;23734;146;122;26738;160;138;30029;50;25843;44;24067;28
5789455;5916675;328;22965;112;71;25827;151;124;26914;164;136;26914;50;26064;44;24288;29
5789456;5916675;365;25560;112;71;25827;187;155;56661;179;133;36965;56;28743;50;26966;35
5791353;5916675;320;22431;91;57;21675;100;74;26419;115;84;26419;42;23840;37;27429;25
5791354;5916675;317;22199;92;58;22446;99;71;26187;115;81;26187;44;24431;39;28020;26
5791355;5916675;318;22228;91;58;22359;91;66;25848;109;76;25848;44;24611;39;28201;25
5791356;5916675;320;22416;91;58;22741;99;71;26196;115;81;26196;44;25236;39;28826;26
5791357;5916675;321;22503;92;59;22807;100;74;26264;115;84;26264;44;25350;39;28940;26
5791358;5916675;322;22554;92;59;22807;141;119;26503;156;131;26503;44;24897;39;23120;26
5791359;5916675;319;22356;92;59;22807;135;116;26305;146;128;26305;49;25220;44;23444;28
5791360;5916675;320;22411;103;65;23734;138;117;26360;150;129;26360;49;25588;44;23812;28
5791361;5916675;325;22764;112;71;25827;146;122;26713;158;134;26713;49;25942;44;24166;28
5791362;5916675;330;23075;112;71;25827;151;126;27024;167;138;27024;50;26251;44;24474;29
5791363;5916675;365;25555;112;71;25827;187;155;56656;179;133;36960;56;28638;50;26862;35
5793258;5916675;326;22817;94;60;22920;111;80;26805;121;90;26805;45;25104;39;28693;26
5793259;5916675;322;22517;94;60;22864;105;76;26504;115;86;26504;44;24944;39;28533;26
5793260;5916675;322;22551;93;59;22450;105;76;26539;115;86;26539;44;24908;39;28497;26
5793261;5916675;318;22227;91;57;22527;99;70;25983;109;80;25983;44;24688;39;28278;26
5793262;5916675;316;22122;91;58;22570;99;70;25982;109;80;25982;44;25113;39;28703;26
5793263;5916675;317;22170;91;58;22570;105;75;25564;115;85;25564;45;26219;39;29809;26
5793264;5916675;316;22101;90;57;22281;135;112;26050;142;124;26050;49;24841;43;23065;28
5793265;5916675;316;22141;90;57;22219;135;113;26090;144;125;26090;49;25174;43;23397;28
5793266;5916675;316;22150;95;60;22264;135;113;26099;144;125;26099;49;25371;43;23594;28
5793267;5916675;327;22925;95;60;22264;151;124;26874;162;136;26874;49;26166;43;24389;28
5793268;5916675;333;23322;112;71;25827;161;138;26643;167;142;27271;50;26392;44;24615;29
5793269;5916675;363;25420;110;69;25347;194;165;57337;179;143;37641;55;25204;50;23428;34
5793270;5916675;361;25240;110;69;25347;189;162;57157;179;141;37460;55;28093;50;26317;34
5795164;5916675;327;22892;94;60;22864;111;81;26880;121;91;26880;44;25228;39;28817;26
5795165;5916675;328;22973;94;60;22864;111;82;26961;121;92;26961;44;27004;39;30594;26
5795166;5916675;327;22903;90;57;22257;111;81;26891;121;91;26891;48;26853;42;30443;28
5795167;5916675;313;21901;91;57;22494;99;71;25282;115;81;25282;45;25239;39;28829;26
5795168;5916675;313;21902;90;57;22281;99;71;25283;115;81;25283;46;25801;41;29390;27
5795169;5916675;314;21983;90;57;22281;99;72;25377;115;82;25377;46;26023;41;29613;27
5795170;5916675;312;21831;90;57;22219;135;108;25780;138;118;25780;46;24580;41;22803;27
5795171;5916675;311;21750;89;57;22122;135;107;25699;138;117;25699;49;24881;43;23104;28
5795172;5916675;315;22085;95;60;22264;135;112;26034;142;124;26034;49;25323;43;23547;28
5795173;5916675;319;22313;95;60;22264;135;115;26262;144;127;26262;49;25414;43;23638;28
5795174;5916675;316;22123;95;60;22264;135;112;26072;142;124;26072;49;25048;44;23272;28
5795175;5916675;315;22060;95;60;22264;135;112;26009;142;124;26009;49;25185;44;23408;28
5795176;5916675;361;25276;93;59;22075;189;163;57193;179;141;37497;50;24709;44;22932;29
5797069;5916675;299;20922;88;56;20984;130;96;34818;134;119;28857;-1;-1;-1;-1;-1
5797070;5916675;330;23090;88;56;20984;111;84;27078;121;94;27078;45;25506;40;29096;27
5797071;5916675;332;23207;90;57;22257;111;86;27195;121;96;27195;48;26906;42;30496;28
5797072;5916675;314;21992;90;57;22257;99;72;25374;115;82;25374;47;26623;42;30212;28
5797073;5916675;310;21708;90;57;22257;99;68;25089;109;78;25089;45;26707;40;30297;26
5797074;5916675;308;21590;89;56;22012;91;66;24984;109;76;24984;45;25572;40;29161;26
5797075;5916675;311;21798;90;57;22219;99;69;25193;109;79;25193;46;25905;41;29494;27
5797076;5916675;307;21514;89;57;22122;130;104;25463;136;114;25463;47;24527;41;22750;28
5797077;5916675;309;21641;89;57;22122;130;106;25590;138;116;25590;49;24959;43;23183;28
5797078;5916675;314;21975;95;60;22264;135;110;25924;138;120;25924;49;25496;43;23720;28
5797079;5916675;313;21882;95;60;22264;135;109;25831;138;119;25831;49;25333;43;23557;28
5797080;5916675;313;21926;95;60;22264;135;110;25875;138;120;25875;49;24544;44;22767;28
5797081;5916675;313;21913;95;60;22264;135;109;25862;138;119;25862;49;25164;44;23387;28
5797082;5916675;310;21706;93;59;22075;145;125;25301;153;139;37360;50;24695;44;22919;29
5798974;5916675;279;19549;83;53;19553;121;76;33445;119;99;24307;38;21650;34;25239;22
5798975;5916675;335;23451;97;61;23557;116;89;27438;134;99;27438;46;25853;41;29443;27
5798976;5916675;335;23445;97;61;23557;116;89;27433;134;99;27433;45;25741;40;29331;27
5798977;5916675;335;23452;90;57;22257;116;89;27440;134;99;27440;47;26946;42;30536;28
5798978;5916675;307;21522;88;56;21681;99;69;24912;109;79;24912;47;26417;42;30007;28
5798979;5916675;305;21346;87;55;21570;95;67;24735;109;77;24735;48;26776;42;30365;28
5798980;5916675;305;21346;88;56;21690;95;67;24735;109;77;24735;46;25935;41;29525;27
5798981;5916675;309;21618;89;56;21990;99;71;25007;115;81;25007;47;26323;41;29913;28
5798982;5916675;305;21346;89;57;22122;125;101;25295;131;111;25295;47;24387;41;22611;28
5798983;5916675;303;21221;89;57;22122;125;100;25170;130;110;25170;48;24327;42;22551;27
5798984;5916675;303;21214;92;58;21532;124;99;25163;130;109;25163;48;24319;42;22542;27
5798985;5916675;308;21579;92;58;21532;130;105;25528;136;115;25528;48;24211;43;22435;27
5798986;5916675;306;21441;95;60;22264;125;103;25390;136;113;25390;48;24477;43;22700;27
