from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916765;476;33300;136;86;32793;182;173;42652;192;161;44673;65;34725;58;34739;37
5785641;5916765;447;31316;133;84;30189;191;176;42858;201;164;44879;62;34936;55;34950;35
5785642;5916765;449;31395;133;84;30189;193;177;42976;201;165;44997;62;29418;55;29433;35
5785643;5916765;453;31688;122;77;28640;202;181;43269;201;169;45290;62;33783;55;33800;35
5787544;5916765;469;32811;133;84;32254;180;166;42163;179;151;44184;64;34299;57;34314;36
5787545;5916765;470;32880;133;84;32254;180;167;42232;179;152;44253;64;34585;57;34600;36
5787546;5916765;473;33106;133;84;32254;182;170;42458;192;158;44479;61;28444;55;28459;34
5787547;5916765;446;31202;133;84;30189;197;183;43357;200;171;47124;61;28836;55;28850;34
5787548;5916765;443;30977;133;84;30189;195;179;43084;199;167;46852;62;28957;55;28972;34
5787549;5916765;444;31111;133;84;30189;197;183;43377;199;171;47144;62;29200;55;29215;35
5787550;5916765;412;28850;122;77;28640;207;167;44432;192;149;50839;62;33581;55;33599;35
5789447;5916765;438;30676;122;77;29491;142;121;36449;141;111;41417;60;32109;53;32124;33
5789448;5916765;438;30673;122;77;29488;142;122;36469;141;111;41437;60;32474;54;32489;33
5789449;5916765;439;30734;122;77;29624;142;123;36530;141;112;41498;61;32900;54;32914;34
5789450;5916765;472;33047;122;77;29624;182;169;42399;192;157;44420;61;33218;54;33233;34
5789451;5916765;473;33085;133;84;32254;182;170;42437;192;158;44458;64;34546;57;34561;36
5789452;5916765;438;30638;133;84;32254;195;177;39951;192;165;41972;61;28344;54;28358;34
5789453;5916765;438;30674;133;84;30189;195;178;39988;192;166;42009;61;28521;55;28535;34
5789454;5916765;439;30761;133;84;30189;195;181;63292;195;173;50585;61;28784;55;28799;34
5789455;5916765;442;30938;122;77;28673;199;181;40251;199;169;44018;62;29005;55;29020;35
5789456;5916765;410;28689;122;77;28673;201;164;44271;193;146;50678;63;33492;57;33509;39
5791353;5916765;443;31036;126;80;30542;145;127;36808;147;116;41777;59;31700;53;31714;33
5791354;5916765;440;30804;121;77;29334;142;123;36576;147;113;41545;61;32291;54;32305;34
5791355;5916765;433;30327;121;76;29247;137;118;36237;141;108;41206;61;32471;54;32486;34
5791356;5916765;434;30388;121;76;29195;142;123;36585;147;113;41554;62;33096;55;33111;34
5791357;5916765;435;30476;122;77;29624;145;126;36654;147;116;41622;61;33210;55;33225;34
5791358;5916765;436;30527;122;77;29624;194;175;39840;190;163;41861;61;27838;55;27853;34
5791359;5916765;433;30329;122;77;29624;188;173;39642;177;161;43669;61;28161;54;28176;34
5791360;5916765;434;30384;133;84;30189;191;173;39697;182;161;43723;61;28529;54;28544;34
5791361;5916765;439;30737;122;77;28673;195;178;40050;192;166;42071;61;28884;54;28898;34
5791362;5916765;444;31048;122;77;28673;199;183;40361;199;171;44128;62;29192;55;29207;35
5791363;5916765;410;28684;122;77;28673;201;164;44266;193;146;50673;63;33387;57;33404;39
5793258;5916765;449;31422;124;78;30292;152;132;37194;154;122;42163;62;32964;55;32978;35
5793259;5916765;445;31122;124;78;30235;147;128;36894;147;118;41862;61;32804;54;32819;34
5793260;5916765;445;31156;123;78;29822;147;128;36928;147;118;41897;61;32768;54;32782;34
5793261;5916765;431;30200;120;76;28982;142;122;36373;141;112;41342;61;32549;54;32563;34
5793262;5916765;430;30095;120;76;29024;142;122;36371;141;112;41340;62;32973;55;32988;34
5793263;5916765;431;30143;120;76;29024;149;127;35954;147;117;40922;62;34079;55;34094;34
5793264;5916765;430;30074;119;75;28736;188;169;39387;174;157;41408;60;27782;54;27797;34
5793265;5916765;430;30114;119;75;28674;188;170;39427;177;158;41448;60;28115;54;28129;34
5793266;5916765;430;30123;124;79;28718;188;170;39436;177;158;41457;61;28312;54;28326;34
5793267;5916765;441;30898;124;79;28718;197;181;40211;199;169;43978;61;29107;54;29121;34
