from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5916775;499;34951;138;87;34499;193;182;44745;202;171;46766;65;37266;57;37280;36
5785641;5916775;474;33169;143;90;31894;201;185;44951;212;174;46972;62;37477;54;37491;34
5785642;5916775;475;33248;143;90;31894;203;187;45069;212;176;47090;62;31959;54;31974;34
5785643;5916775;479;33541;124;78;30043;212;191;45362;212;180;47383;62;36324;54;36341;34
5787544;5916775;492;34462;135;85;33959;190;175;44256;189;157;46223;64;36840;56;36855;35
5787545;5916775;493;34530;135;85;33959;190;176;44325;189;158;46292;64;37126;56;37141;35
5787546;5916775;497;34756;135;85;33959;193;180;44551;202;169;46572;61;30985;53;31000;34
5787547;5916775;472;33055;143;90;31894;206;192;45450;210;181;49217;61;31377;53;31391;34
5787548;5916775;469;32830;143;90;31894;205;189;45178;208;178;48945;61;31498;53;31513;34
5787549;5916775;471;32964;143;90;31894;206;193;45470;208;182;49237;62;31741;54;31756;34
5787550;5916775;436;30500;124;78;30043;217;176;46525;202;159;52932;62;36123;54;36140;34
5789447;5916775;465;32529;132;83;31197;155;137;49592;148;118;43456;60;34650;52;34665;32
5789448;5916775;465;32526;132;83;31194;155;137;49612;148;118;43476;60;35015;52;35030;32
5789449;5916775;466;32587;132;84;31330;155;138;49673;148;119;43537;61;35441;53;35456;33
5789450;5916775;496;34698;132;84;31330;193;179;44492;202;168;46513;61;35760;53;35774;33
5789451;5916775;496;34736;135;85;33959;193;179;44530;202;168;46551;64;37087;56;37102;35
5789452;5916775;464;32491;135;85;33959;205;187;42044;201;181;52554;61;30885;53;30899;33
5789453;5916775;465;32527;143;90;31894;205;187;42081;201;181;52591;61;31062;53;31076;34
5789454;5916775;466;32614;143;90;31894;205;193;45459;204;182;52678;61;31325;53;31340;33
5789455;5916775;468;32791;124;78;30076;209;191;42344;208;180;46111;62;31546;54;31561;34
5789456;5916775;433;30340;124;78;30076;211;174;46364;205;157;52771;63;36033;56;36050;38
5791353;5916775;470;32889;136;86;32247;158;142;49952;155;123;43816;59;34241;52;34255;32
5791354;5916775;467;32657;131;83;31040;155;139;49720;155;119;43584;61;34832;53;34846;33
5791355;5916775;460;32180;131;83;30952;149;134;49381;148;115;43245;61;35012;53;35027;33
5791356;5916775;461;32241;131;83;30900;155;139;49729;155;120;43593;61;35638;53;35652;33
5791357;5916775;462;32329;132;84;31330;158;142;49797;155;122;43661;61;35752;53;35766;33
5791358;5916775;463;32380;132;84;31330;204;185;41933;199;179;52443;61;30379;53;30394;33
5791359;5916775;460;32182;132;84;31330;198;182;41735;187;176;52246;61;30702;53;30717;33
5791360;5916775;461;32236;143;90;31894;201;183;41790;192;177;52300;61;31071;53;31085;33
5791361;5916775;466;32590;124;78;30076;205;188;42143;201;182;52653;61;31425;53;31439;33
5791362;5916775;470;32901;124;78;30076;209;193;42454;208;182;46221;61;31733;54;31748;34
5791363;5916775;433;30335;124;78;30076;211;174;46359;205;157;52766;63;35929;56;35946;38
5793258;5916775;475;33275;134;85;31997;164;147;50338;162;128;44202;62;35505;54;35520;34
5793259;5916775;471;32974;134;85;31941;160;143;50038;155;124;43902;61;35345;53;35360;33
5793260;5916775;472;33009;133;84;31527;160;144;50072;155;124;43936;61;35309;53;35323;33
5793261;5916775;458;32052;130;82;30687;155;138;49516;148;118;43380;61;35090;53;35104;33
5793262;5916775;456;31948;130;82;30729;155;137;49514;148;118;43379;61;35515;53;35529;33
5793263;5916775;457;31996;130;82;30729;162;142;49097;155;123;42962;62;36620;53;36635;33
5793264;5916775;456;31927;129;82;30441;198;179;41480;185;173;51990;60;30323;52;30338;33
5793265;5916775;457;31967;129;82;30379;198;179;41520;187;173;52030;60;30656;52;30671;33
5793266;5916775;457;31976;135;85;30424;198;179;41529;187;173;52040;61;30853;53;30868;33
5793267;5916775;468;32751;135;85;30424;206;190;42304;208;179;46071;61;31648;53;31663;33
5793268;5916775;474;33148;124;78;30076;214;196;42701;212;185;46469;61;31874;54;31889;34
5793269;5916775;438;30636;124;79;30037;226;184;47040;202;167;53448;63;30687;56;30701;38
5793270;5916775;435;30455;124;79;30037;220;181;46860;202;164;53267;63;36037;56;36145;38
5795164;5916775;476;33350;134;85;31941;167;149;50413;162;129;44277;61;35629;53;35644;34
5795165;5916775;478;33431;134;85;31941;169;150;50494;162;131;44358;61;37405;53;37420;34
5795166;5916775;477;33361;129;82;30417;167;149;50424;162;130;44288;62;37255;54;37269;34
5795167;5916775;453;31727;130;82;30654;155;138;48815;155;119;42679;61;35640;53;35655;33
5795168;5916775;453;31728;129;82;30441;155;138;48816;155;119;42680;62;36202;54;36217;34
5795169;5916775;454;31808;129;82;30441;155;140;48910;155;120;42774;62;36424;54;36439;34
5795170;5916775;452;31657;129;82;30379;198;175;41210;180;157;43177;61;30062;53;30077;33
5795171;5916775;451;31576;129;82;30282;198;174;41129;180;155;43096;60;30363;52;30378;33
5795172;5916775;456;31910;135;85;30424;198;178;41464;185;172;51974;61;30806;53;30820;33
5795173;5916775;459;32139;135;85;30424;198;182;41692;187;176;52202;61;30896;53;30911;33
