from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952905;493;34497;141;89;36320;176;163;51398;190;160;52138;62;38639;55;38639;37
5785641;5952905;477;33421;149;94;35561;183;166;51603;196;157;45544;64;38849;57;38849;37
5785642;5952905;479;33500;149;94;35561;186;167;51721;196;158;45662;64;38676;57;36900;37
5785643;5952905;483;33793;158;100;37621;197;171;52014;196;162;45954;64;41233;57;39456;37
5787544;5952905;486;34008;138;88;35781;174;156;50908;180;153;51648;61;38213;54;38213;36
5787545;5952905;487;34077;138;88;35781;174;157;50977;180;154;51717;61;38499;54;38499;36
5787546;5952905;490;34303;138;88;35781;176;160;51203;190;157;51943;64;37702;56;35926;37
5787547;5952905;476;33307;149;94;35561;191;173;52102;195;164;46043;64;38093;56;36317;37
5787548;5952905;473;33081;149;94;35561;188;169;51830;192;160;45770;64;38215;56;36438;37
5787549;5952905;475;33216;149;94;35561;191;173;52122;194;164;46063;64;38458;57;36682;37
5787550;5952905;511;35798;158;100;37621;213;174;62548;210;167;59035;64;41032;57;39255;37
5789447;5952905;453;31733;129;82;33682;134;116;42082;147;113;48881;57;36023;50;36023;33
5789448;5952905;457;32014;129;82;33685;134;116;42102;147;113;48902;57;36388;50;36388;33
5789449;5952905;462;32362;131;83;34375;134;117;42163;147;114;48962;58;36814;51;36814;34
5789450;5952905;489;34244;131;83;34375;176;159;51144;190;156;51884;58;37132;51;37132;34
5789451;5952905;490;34282;138;88;35781;176;160;51183;190;156;51923;61;38460;54;38460;36
5789452;5952905;468;32743;138;88;35781;189;167;48696;188;158;42637;63;37602;56;35825;36
5789453;5952905;468;32779;149;94;35561;188;168;48733;188;159;42673;64;37778;56;36002;37
5789454;5952905;470;32866;149;94;35561;188;169;48820;188;164;46052;64;38042;56;36266;37
5789455;5952905;472;33042;158;100;37654;194;171;48996;192;162;42936;64;38263;57;36487;37
5789456;5952905;509;35637;158;100;37654;207;171;62387;211;164;58874;70;40942;63;39165;43
5791353;5952905;461;32279;127;81;33244;137;121;42442;153;118;49241;56;35613;50;35613;33
5791354;5952905;458;32047;130;82;34015;134;118;42209;153;115;49009;58;36205;51;36205;34
5791355;5952905;458;32076;130;82;33927;128;113;41870;147;110;48670;58;36385;51;36385;34
5791356;5952905;463;32424;131;83;34405;134;118;42218;153;115;49018;58;37010;52;37010;34
