from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952960;407;28466;120;76;28856;143;131;30442;164;136;31477;55;30466;48;30466;30
5785641;5952960;369;25850;118;75;26251;152;134;30648;170;132;33688;57;30676;50;30676;30
5785642;5952960;370;25929;118;75;26251;154;136;30766;171;134;33806;57;30078;50;28301;30
5785643;5952960;375;26222;127;81;28311;162;140;31059;172;138;34099;57;32634;50;30858;30
5787544;5952960;400;27977;117;74;28316;141;124;29953;153;129;30988;54;30040;48;30040;29
5787545;5952960;401;28046;117;74;28316;141;125;30022;153;130;31057;54;30326;48;30326;29
5787546;5952960;404;28272;117;74;28316;143;129;30248;163;133;31282;56;29104;50;27328;30
5787547;5952960;368;25736;118;75;26251;159;141;31147;171;139;34187;56;29495;50;27719;30
5787548;5952960;364;25510;118;75;26251;156;138;30874;168;136;33915;57;29617;50;27840;30
5787549;5952960;366;25645;118;75;26251;159;142;31167;170;140;34207;57;29860;50;28083;30
5787550;5952960;403;28227;127;81;28311;176;139;45316;177;134;44148;57;32433;50;30657;30
5789447;5952960;360;25210;107;68;25554;102;85;28221;119;90;29012;50;27850;44;27850;27
5789448;5952960;360;25207;107;68;25551;102;85;28241;119;90;29032;50;28215;44;28215;27
5789449;5952960;361;25268;108;68;25687;102;86;28302;119;91;29093;51;28641;45;28641;27
5789450;5952960;403;28213;108;68;25687;143;128;30189;163;133;31224;51;28959;45;28959;27
5789451;5952960;404;28252;117;74;28316;143;128;30227;163;133;31262;54;30287;48;30287;29
5789452;5952960;360;25172;117;74;28316;156;136;27741;162;134;30782;56;29003;49;27227;30
5789453;5952960;360;25208;118;75;26251;156;136;27778;162;134;30818;56;29180;50;27404;30
5789454;5952960;361;25295;118;75;26251;156;138;27864;164;140;34197;56;29444;50;27668;30
5789455;5952960;364;25472;127;81;28344;161;140;28041;168;138;31081;57;29665;50;27888;30
5789456;5952960;401;28066;127;81;28344;170;137;45155;178;132;43988;63;32343;56;30567;36
5791353;5952960;365;25570;106;67;25860;105;90;28581;125;95;29372;49;27440;43;27440;26
5791354;5952960;362;25338;107;68;25397;102;87;28348;125;92;29140;51;28032;45;28032;27
5791355;5952960;355;24860;106;67;25309;97;82;28010;119;87;28801;50;28212;44;28212;27
5791356;5952960;356;24922;106;67;25257;102;87;28357;125;92;29149;51;28837;45;28837;27
5791357;5952960;357;25010;108;68;25687;105;89;28426;125;94;29217;51;28951;45;28951;27
5791358;5952960;358;25061;108;68;25687;154;134;27630;159;132;30670;51;28498;45;26721;27
5791359;5952960;355;24863;108;68;25687;147;131;27432;152;136;28467;56;28821;49;27045;30
5791360;5952960;356;24917;118;75;26251;150;132;27487;154;130;30527;56;29189;49;27413;30
5791361;5952960;361;25271;127;81;28344;156;137;27840;162;135;30880;56;29543;49;27767;30
5791362;5952960;365;25582;127;81;28344;161;142;28151;170;140;31192;57;29852;50;28075;30
5791363;5952960;401;28062;127;81;28344;170;137;45150;178;132;43983;63;32239;56;30463;36
5793258;5952960;371;25956;109;69;26354;113;95;28966;131;100;29758;51;28705;45;28705;28
5793259;5952960;367;25655;109;69;26298;108;91;28666;125;96;29458;51;28545;45;28545;27
5793260;5952960;367;25690;108;68;25884;108;92;28701;125;97;29492;51;28509;45;28509;27
5793261;5952960;353;24733;106;67;25044;102;85;28145;119;90;28936;51;28289;45;28289;27
5793262;5952960;352;24629;106;67;25086;102;85;28143;119;90;28935;51;28714;45;28714;27
5793263;5952960;353;24676;106;67;25086;110;90;27726;125;95;28518;51;29820;45;29820;27
5793264;5952960;352;24608;105;66;24798;147;128;27177;148;133;28212;55;28442;49;26665;29
5793265;5952960;352;24648;105;66;24736;147;128;27217;150;133;28252;55;28774;49;26998;29
5793266;5952960;352;24657;110;70;24781;147;128;27226;150;133;28261;56;28971;49;27195;30
5793267;5952960;363;25432;110;70;24781;159;139;28001;167;138;31041;56;29766;49;27990;30
5793268;5952960;369;25829;127;81;28344;168;147;30224;173;143;31439;57;29993;50;28216;30
5793269;5952960;399;27927;125;79;27864;183;147;45831;177;142;44664;62;28805;55;27029;36
5793270;5952960;396;27746;125;79;27864;178;144;45651;177;139;44484;62;31694;55;29917;36
5795164;5952960;372;26030;109;69;26298;115;96;29041;131;101;29833;51;28829;45;28829;28
5795165;5952960;373;26112;109;69;26298;117;98;29123;131;103;29914;51;30605;45;30605;28
5795166;5952960;372;26042;105;66;24774;115;97;29053;131;102;29844;54;30454;48;30454;29
5795167;5952960;349;24408;106;67;25011;102;86;27444;125;91;28235;51;28840;45;28840;28
5795168;5952960;349;24408;105;66;24798;102;86;27445;125;91;28236;53;29402;47;29402;29
5795169;5952960;350;24490;105;66;24798;102;88;27539;125;93;28330;53;29624;47;29624;29
5795170;5952960;348;24338;105;66;24736;147;124;26907;146;129;27942;52;28181;46;26404;28
5795171;5952960;347;24257;104;66;24639;147;123;26826;146;128;27861;55;28482;49;26705;29
5795172;5952960;351;24591;110;70;24781;147;127;27160;148;132;28195;56;28924;49;27148;30
5795173;5952960;355;24820;110;70;24781;147;131;27389;150;136;28424;56;29015;49;27238;30
5795174;5952960;352;24630;110;70;24781;147;128;27199;148;133;28234;56;28649;50;26872;30
5795175;5952960;351;24567;110;70;24781;147;127;27136;148;132;28171;56;28786;50;27009;30
5795176;5952960;397;27783;108;68;24592;178;145;45687;177;140;44520;57;28309;50;26533;31
5797069;5952960;357;24972;103;65;25168;126;89;28327;130;115;28987;-1;-1;-1;-1;-1
5797070;5952960;375;26229;103;65;25168;117;99;29240;131;104;30031;52;29107;46;29107;29
5797071;5952960;376;26346;105;66;24774;117;101;29357;131;106;30148;54;30507;48;30507;30
5797072;5952960;350;24499;105;66;24774;102;87;27535;125;92;28327;54;30224;48;30224;29
