from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952974;409;28642;117;74;28823;126;107;29789;146;115;29789;51;31123;44;31160;28
5785641;5952974;372;26026;116;73;26219;132;110;29995;152;113;29995;53;31334;46;31371;28
5785642;5952974;373;26105;116;73;26219;137;112;30113;152;115;30113;53;30735;46;28996;28
5785643;5952974;377;26398;125;79;28279;148;116;30406;152;119;30406;53;34908;46;34811;28
5787544;5952974;402;28153;114;72;28284;126;100;29300;134;108;29300;50;30697;44;30734;27
5787545;5952974;403;28222;114;72;28284;126;101;29369;134;109;29369;50;30983;44;31021;27
5787546;5952974;406;28448;114;72;28284;126;104;29595;146;112;29595;52;29761;46;28022;28
5787547;5952974;370;25912;116;73;26219;142;117;30494;151;120;30494;52;30152;46;28413;28
5787548;5952974;367;25686;116;73;26219;137;113;30222;148;116;30222;53;30274;46;28535;28
5787549;5952974;369;25821;116;73;26219;142;117;30514;150;120;30514;53;30517;46;28778;28
5787550;5952974;406;28403;125;79;28279;152;110;40926;159;117;40452;53;34707;46;34610;28
5789447;5952974;363;25386;105;66;25522;84;61;26533;98;69;26533;46;28507;40;28545;25
5789448;5952974;363;25383;105;66;25519;84;61;26554;98;69;26554;46;28872;40;28910;25
5789449;5952974;363;25444;105;67;25655;84;62;26614;98;70;26614;47;29298;41;29335;25
5789450;5952974;406;28389;105;67;25655;126;103;29536;146;111;29536;47;29617;41;29654;25
5789451;5952974;406;28428;114;72;28284;126;104;29575;146;112;29575;50;30944;44;30981;27
5789452;5952974;362;25348;114;72;28284;137;111;27088;141;114;27088;52;29661;46;27922;28
5789453;5952974;363;25384;116;73;26219;137;112;27125;141;115;27125;52;29837;46;28098;28
5789454;5952974;364;25471;116;73;26219;137;113;27212;143;120;31245;52;30101;46;28362;28
5789455;5952974;366;25648;125;79;28312;142;116;27388;148;119;27388;53;30322;46;28583;28
5789456;5952974;403;28242;125;79;28312;145;107;40765;160;114;40291;57;34617;50;34520;34
5791353;5952974;368;25746;103;65;25828;86;66;26893;104;74;26893;45;28098;39;28135;24
5791354;5952974;364;25514;104;66;25364;84;62;26661;104;70;26661;47;28689;41;28726;25
5791355;5952974;358;25036;104;66;25277;78;58;26322;98;66;26322;46;28869;41;28907;25
5791356;5952974;359;25098;104;66;25225;84;62;26670;104;70;26670;47;29495;41;29532;25
5791357;5952974;360;25186;105;67;25655;86;65;26738;104;73;26738;47;29609;41;29646;25
5791358;5952974;361;25237;105;67;25655;132;110;26977;138;113;26977;47;29155;41;27416;25
5791359;5952974;358;25039;105;67;25655;126;107;26780;130;114;30813;52;29478;46;27739;28
5791360;5952974;358;25093;116;73;26219;129;108;26834;133;111;26834;52;29846;46;28107;28
5791361;5952974;364;25447;125;79;28312;137;113;27187;141;116;27187;52;30201;46;28462;28
5791362;5952974;368;25758;125;79;28312;142;117;27498;150;120;27498;53;30509;46;28770;28
5791363;5952974;403;28238;125;79;28312;145;107;40760;160;114;40286;57;34513;50;34416;34
5793258;5952974;373;26132;107;68;26322;98;71;27279;110;79;27279;47;29362;41;29399;26
5793259;5952974;369;25831;107;68;26265;91;67;26979;104;75;26979;47;29202;41;29239;25
5793260;5952974;370;25866;106;67;25852;91;67;27013;104;75;27013;47;29166;41;29203;25
5793261;5952974;356;24909;103;65;25012;84;61;26458;98;69;26458;47;28947;41;28984;25
5793262;5952974;354;24805;103;66;25054;84;61;26456;98;69;26456;47;29372;41;29409;25
5793263;5952974;355;24852;103;66;25054;91;66;26039;104;74;26039;47;30477;41;30515;25
5793264;5952974;354;24784;102;65;24766;126;103;26524;126;110;30558;51;29099;45;27360;27
5793265;5952974;355;24824;102;65;24704;126;104;26564;128;111;30598;51;29432;45;27693;27
5793266;5952974;355;24833;108;68;24749;126;104;26574;128;111;30607;52;29629;45;27890;28
5793267;5952974;366;25608;108;68;24749;142;115;27348;146;118;27348;52;30424;45;28685;28
5793268;5952974;372;26005;125;79;28312;152;129;27746;152;124;27746;53;30650;46;28911;28
5793269;5952974;401;28103;122;77;27831;159;117;41442;159;124;40967;57;29462;50;27723;34
5793270;5952974;399;27922;122;77;27831;153;114;41261;159;121;40786;57;32351;50;34615;34
5795164;5952974;374;26206;107;68;26265;98;72;27354;110;80;27354;47;29486;41;29523;26
5795165;5952974;376;26288;107;68;26265;98;73;27435;110;81;27435;47;31262;41;31300;26
5795166;5952974;375;26218;103;65;24742;98;72;27365;110;80;27365;50;31112;44;31149;27
5795167;5952974;351;24584;103;65;24979;84;62;25756;104;70;25756;47;29497;41;29535;26
5795168;5952974;351;24585;102;65;24766;84;62;25757;104;70;25757;49;30059;43;30096;27
5795169;5952974;352;24666;102;65;24766;84;63;25852;104;71;25852;49;30281;43;30319;27
5795170;5952974;350;24514;102;65;24704;126;100;26254;124;106;30288;49;28838;43;27099;26
5795171;5952974;349;24433;102;65;24606;126;98;26173;124;105;30207;51;29139;45;27400;27
5795172;5952974;354;24767;108;68;24749;126;103;26508;126;110;30541;52;29581;45;27842;28
5795173;5952974;357;24996;108;68;24749;126;106;26736;128;113;30770;52;29672;45;27933;28
5795174;5952974;354;24806;108;68;24749;126;104;26546;126;111;30580;52;29306;46;27567;28
5795175;5952974;353;24743;108;68;24749;126;103;26483;126;110;30517;52;29443;46;27704;28
5795176;5952974;399;27959;105;67;24559;153;115;41298;159;122;40823;53;28967;46;27228;29
5797069;5952974;360;25165;100;64;25136;119;84;25403;125;108;29331;-1;-1;-1;-1;-1
5797070;5952974;377;26405;100;64;25136;98;75;27552;110;83;27552;48;29764;42;29802;27
5797071;5952974;379;26522;103;65;24742;98;77;27669;110;85;27669;50;31164;44;31202;28
5797072;5952974;353;24675;103;65;24742;84;63;25848;104;71;25848;50;30881;44;30918;27
5797073;5952974;348;24390;103;65;24742;84;59;25563;98;67;25563;48;30966;42;31003;26
5797074;5952974;347;24272;102;64;24496;78;58;25458;98;66;25458;48;29830;42;29867;26
