from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952891;532;37226;147;93;37323;183;168;45199;208;177;52195;56;38581;50;38581;34
5785641;5952891;517;36209;155;98;36564;191;171;45404;212;165;46356;58;38792;52;38792;33
5785642;5952891;518;36289;155;98;36564;192;173;45522;212;167;46474;58;38619;52;36842;33
5785643;5952891;523;36582;164;103;38624;204;177;45815;212;171;46767;59;41175;52;39399;34
5787544;5952891;525;36737;144;91;36784;179;161;44709;196;170;51705;55;38155;49;38155;33
5787545;5952891;526;36806;144;91;36784;179;162;44778;196;171;51774;55;38442;49;38442;33
5787546;5952891;529;37032;144;91;36784;183;165;45004;208;174;52000;58;37645;51;35868;33
5787547;5952891;516;36095;155;98;36564;197;178;45903;208;172;46855;58;38036;51;36260;33
5787548;5952891;512;35870;155;98;36564;196;174;45631;205;168;46583;58;38158;51;36381;33
5787549;5952891;514;36004;155;98;36564;197;178;45923;205;173;46875;59;38401;52;36624;34
5787550;5952891;551;38587;164;103;38624;210;164;63361;219;176;60228;59;40974;52;39198;34
5789447;5952891;492;34462;134;85;34686;132;107;42894;160;131;48938;51;35966;45;35966;30
5789448;5952891;496;34743;134;85;34689;132;107;42915;160;131;48959;51;36331;45;36331;30
5789449;5952891;501;35091;137;86;35379;132;108;42975;160;132;49019;53;36756;46;36756;31
5789450;5952891;528;36973;137;86;35379;183;164;44946;208;173;51942;53;37075;46;37075;31
5789451;5952891;529;37012;144;91;36784;183;165;44984;208;174;51980;55;38402;49;38402;33
5789452;5952891;508;35531;144;91;36784;199;178;49494;199;167;43450;57;37544;51;35768;33
5789453;5952891;508;35568;155;98;36564;196;179;49530;199;167;43486;58;37721;51;35945;33
5789454;5952891;509;35655;155;98;36564;196;180;49617;200;172;46865;58;37985;51;36208;33
5789455;5952891;512;35831;164;103;38657;204;183;49793;205;171;43749;59;38206;52;36429;34
5789456;5952891;549;38426;164;103;38657;204;162;63200;220;174;60067;65;40884;58;39108;40
5791353;5952891;500;35008;133;84;34247;138;112;43254;166;136;49298;51;35556;45;35556;30
5791354;5952891;497;34776;136;86;35018;132;109;43022;166;132;49066;52;36147;46;36147;30
5791355;5952891;497;34805;135;86;34930;131;104;42683;160;128;48727;52;36328;46;36328;30
5791356;5952891;502;35153;137;87;35409;132;109;43031;166;132;49075;53;36953;47;36953;31
5791357;5952891;505;35369;137;86;35379;138;111;43099;166;135;49143;53;37067;46;37067;31
5791358;5952891;506;35420;137;86;35379;195;177;49382;196;165;43338;53;37039;46;35262;31
5791359;5952891;503;35223;137;86;35379;190;174;49185;191;177;49185;57;37362;51;35585;33
5791360;5952891;504;35277;155;98;36564;192;175;49239;193;163;43195;57;37730;51;35954;33
5791361;5952891;509;35630;164;103;38657;199;180;49592;199;168;43548;57;38084;51;36308;33
5791362;5952891;513;35941;164;103;38657;204;184;49903;205;173;43860;58;38393;52;36616;34
5791363;5952891;549;38421;164;103;38657;204;162;63195;220;174;60062;65;40780;58;39004;40
5793258;5952891;506;35394;137;86;35492;152;117;43640;172;141;49684;53;36820;47;36820;31
5793259;5952891;501;35094;136;86;35435;142;113;43340;166;137;49384;52;36660;46;36660;31
5793260;5952891;502;35128;135;86;35022;142;114;43374;166;137;49418;52;36624;46;36624;30
5793261;5952891;501;35089;136;86;35195;132;107;42819;160;131;48863;52;36405;46;36405;30
5793262;5952891;500;34988;136;86;35304;132;107;42817;160;131;48861;53;36830;47;36830;31
5793263;5952891;501;35036;136;86;35304;142;112;42400;166;136;48444;53;37936;47;37936;31
5793264;5952891;500;34967;140;88;35111;190;170;48929;190;173;48929;57;36983;50;35206;33
5793265;5952891;500;35008;139;88;35049;190;171;48970;191;174;48970;57;37315;50;35539;33
5793266;5952891;500;35017;146;93;35094;190;171;48979;191;174;48979;57;37512;51;35736;33
5793267;5952891;511;35791;146;93;35094;204;182;49753;205;170;43709;57;38307;51;36531;33
5793268;5952891;517;36189;164;103;38657;213;191;50151;212;176;44107;58;38534;52;36757;34
5793269;5952891;547;38286;161;102;38177;219;172;63876;219;183;60743;64;37346;57;35570;39
5793270;5952891;544;38106;161;102;38177;212;169;63696;219;181;60562;64;40235;57;38458;39
5795164;5952891;507;35469;136;86;35435;152;118;43715;172;142;49759;53;36944;47;36944;31
5795165;5952891;508;35550;136;86;35435;152;120;43796;172;143;49840;53;38721;47;38721;31
5795166;5952891;507;35481;141;89;35087;152;119;43727;172;142;49770;56;38570;50;38570;33
5795167;5952891;497;34767;136;86;35229;132;108;42118;166;132;48162;53;36956;47;36956;31
5795168;5952891;497;34768;140;88;35111;132;108;42118;166;132;48162;54;37517;48;37517;32
5795169;5952891;498;34849;140;88;35111;132;110;42213;166;133;48257;54;37740;48;37740;32
5795170;5952891;496;34697;139;88;35049;190;167;48660;187;170;48660;54;36722;48;34945;32
5795171;5952891;495;34616;140;89;34952;190;165;48578;187;168;48578;57;37023;50;35246;33
5795172;5952891;499;34951;146;93;35094;190;170;48913;190;173;48913;57;37465;51;35689;33
5795173;5952891;503;35179;146;93;35094;190;173;49141;191;176;49141;57;37556;51;35779;33
5795174;5952891;500;34989;146;93;35094;190;171;48951;190;174;48951;58;37190;51;35413;33
5795175;5952891;499;34926;146;93;35094;190;170;48888;190;173;48888;58;37327;51;35550;33
5795176;5952891;545;38142;144;91;34905;212;170;63732;219;181;60599;58;36850;52;35074;34
5797069;5952891;479;33499;130;82;33555;168;115;41471;178;159;42916;-1;-1;-1;-1;-1
5797070;5952891;510;35667;130;82;33555;152;121;43913;172;145;49957;54;37223;48;37223;32
5797071;5952891;511;35784;141;89;35087;152;123;44030;172;147;50074;56;38623;50;38623;33
5797072;5952891;498;34859;141;89;35087;132;109;42209;166;133;48253;55;38339;49;38339;32
5797073;5952891;494;34574;141;89;35087;132;105;41924;160;129;47968;54;38424;47;38424;31
5797074;5952891;492;34456;139;88;34842;131;104;41820;160;128;47864;53;37288;47;37288;31
5797075;5952891;495;34664;139;88;35049;132;107;42028;160;131;48072;54;37621;48;37621;32
5797076;5952891;491;34380;140;89;34952;185;162;48343;182;165;48343;55;36669;49;34892;33
5797077;5952891;493;34507;140;89;34952;185;164;48469;183;167;48469;57;37101;50;35325;33
5797078;5952891;498;34841;146;93;35094;190;169;48803;187;172;48803;57;37638;51;35862;33
5797079;5952891;496;34748;146;93;35094;190;167;48710;187;170;48710;57;37475;51;35698;33
5797080;5952891;497;34793;146;93;35094;190;168;48755;187;171;48755;58;36686;51;34909;33
5797081;5952891;497;34779;146;93;35094;190;168;48741;187;171;48741;58;37306;51;35529;33
5797082;5952891;494;34572;144;91;34905;189;168;63596;189;164;43914;58;36837;52;35061;34
5798974;5952891;459;32126;126;80;32124;161;95;40098;155;135;41557;46;33366;41;33366;26
5798975;5952891;515;36028;139;88;36128;156;126;44274;184;150;50318;54;37570;48;37570;32
5798976;5952891;515;36022;139;88;36128;156;126;44268;184;150;50312;54;37458;48;37458;32
5798977;5952891;515;36029;141;89;35087;156;126;44275;184;150;50319;55;38663;49;38663;32
5798978;5952891;491;34389;139;88;34511;132;107;41747;160;130;47791;55;38134;49;38134;32
5798979;5952891;489;34212;139;88;34401;132;104;41571;160;128;47614;56;38492;50;38492;33
5798980;5952891;489;34212;139;88;34520;132;104;41571;160;128;47615;54;37652;48;37652;32
5798981;5952891;493;34484;139;88;34820;132;108;41842;166;132;47886;55;38040;49;38040;33
5798982;5952891;489;34213;140;89;34952;181;160;48175;177;163;48175;55;36529;49;34753;33
5798983;5952891;487;34087;140;89;34952;181;158;48049;176;161;48049;56;36469;50;34693;32
5798984;5952891;487;34080;143;91;34362;176;137;41998;176;161;48042;56;36461;50;34684;32
5798985;5952891;492;34445;143;91;34362;185;163;48407;182;166;48407;56;36353;50;34576;32
5798986;5952891;490;34307;146;93;35094;181;161;48269;178;164;48269;56;36619;50;34842;32
5798987;5952891;494;34563;146;93;35094;185;165;48525;187;168;48525;58;37078;51;35302;33
5798988;5952891;488;34157;142;90;34371;186;169;63661;184;158;43498;57;36313;51;34536;33
5800879;5952891;452;31630;125;79;31787;149;123;39586;147;127;41061;47;33087;42;33087;27
5800880;5952891;456;31908;126;80;32120;155;127;39865;153;131;41340;46;33363;41;33363;26
5800881;5952891;518;36232;126;80;32120;161;129;44478;184;153;50522;54;33023;48;33023;32
5800882;5952891;490;34300;139;88;36128;152;126;42517;174;149;48561;57;40165;51;40165;33
5800883;5952891;491;34336;140;89;34833;156;126;42553;180;150;48597;57;39942;51;39942;33
5800884;5952891;489;34258;139;88;34510;132;105;41640;160;129;47684;55;37951;48;37951;32
5800885;5952891;486;33994;139;88;34499;126;102;41413;160;126;47457;54;37653;48;37653;32
5800886;5952891;484;33845;139;88;34496;131;104;41556;160;128;47600;54;37944;48;37944;32
5800887;5952891;485;33966;139;88;34820;132;108;41830;160;132;47874;54;38029;48;38029;32
5800888;5952891;477;33424;140;89;33609;161;128;41342;171;151;47386;55;35645;49;33869;31
5800889;5952891;483;33828;140;89;33609;171;133;41746;175;157;47790;56;36234;50;34458;32
5800890;5952891;484;33903;140;89;33733;171;134;41822;176;158;47866;56;36147;50;34370;32
5800891;5952891;487;34114;143;91;34305;181;158;48077;177;161;48077;56;36024;50;34247;32
5800892;5952891;486;34051;143;91;34362;176;137;41969;176;160;48013;56;36498;50;34722;32
5800893;5952891;489;34213;143;91;34362;181;160;48175;177;163;48175;56;37039;50;35262;32
5800894;5952891;487;34066;142;90;34371;184;171;46856;181;157;43408;57;36319;51;34543;33
5800895;5952891;483;33826;141;89;34202;183;167;46616;177;153;43168;57;36219;50;34443;33
5802783;5952891;450;31531;124;79;31537;145;122;39488;143;126;40963;47;33084;42;33084;27
5802784;5952891;449;31412;124;79;31537;142;120;39369;143;124;40844;47;33055;42;33055;27
5802785;5952891;453;31691;126;80;32108;151;124;39647;147;128;41122;47;32561;42;32561;27
5802786;5952891;492;34438;126;80;32120;161;128;42654;180;151;48698;57;32775;51;32775;33
5802787;5952891;489;34200;126;80;32120;152;124;42417;174;148;48461;57;39976;51;39976;33
5802788;5952891;486;34002;140;89;34843;152;121;42219;172;145;48263;57;39729;50;39729;33
5802789;5952891;486;34003;140;89;34843;152;121;42220;172;145;48263;55;38192;49;38192;32
5802790;5952891;487;34072;140;89;34893;132;105;41662;160;129;47706;55;37714;49;37714;32
5802791;5952891;480;33573;137;87;33922;132;104;41020;160;128;47064;54;37987;48;37987;32
5802792;5952891;483;33809;137;87;33921;132;108;41256;160;131;47300;55;38290;49;38290;32
5802793;5952891;474;33196;140;89;33609;152;124;41114;165;148;47158;55;35586;49;33810;31
5802794;5952891;479;33531;140;89;33609;161;129;41449;171;153;47493;56;35871;49;34095;32
5802795;5952891;479;33532;140;89;33733;161;129;41450;171;153;47494;56;35872;50;34096;32
5802796;5952891;481;33645;143;91;34292;161;131;41564;171;155;47607;56;36069;49;34292;32
5802797;5952891;486;34006;143;91;34347;171;136;41925;176;160;47969;56;36389;50;34613;32
5802798;5952891;488;34181;142;90;34019;181;159;48143;177;162;48143;57;36132;50;34355;32
5802799;5952891;479;33509;139;88;33784;176;163;46299;175;149;42851;56;35632;49;33856;32
5802800;5952891;478;33430;140;88;33882;176;162;46220;173;148;42772;56;35800;50;34024;32
5802801;5952891;483;33798;140;89;34052;183;167;46588;177;153;43140;56;36159;50;34383;33
5804689;5952891;448;31366;122;77;31443;137;119;39322;138;115;40200;48;32776;42;32776;28
5804690;5952891;446;31195;123;78;31217;138;117;39151;141;121;40626;47;32767;42;32767;27
