from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952916;467;32672;127;80;32401;161;148;38608;184;153;48047;56;38947;49;34368;33
5785641;5952916;448;31366;135;85;31383;170;151;38814;189;145;41840;59;39158;51;34579;33
5785642;5952916;449;31445;135;85;31383;173;153;38932;189;147;41958;59;38984;51;32629;33
5785643;5952916;453;31738;144;91;33443;182;157;39225;189;151;42251;59;41541;51;35185;33
5787544;5952916;460;32182;124;78;31861;160;141;38119;173;146;47558;55;38521;48;33942;32
5787545;5952916;461;32251;124;78;31861;160;142;38188;173;147;47627;55;38807;48;34228;32
5787546;5952916;464;32477;124;78;31861;161;145;38414;184;150;47853;58;38011;51;31655;32
5787547;5952916;446;31252;135;85;31383;177;158;39313;187;152;42339;58;38402;51;32046;32
5787548;5952916;443;31026;135;85;31383;174;154;39040;184;149;42067;58;38523;51;32167;33
5787549;5952916;445;31160;135;85;31383;177;159;39333;186;153;42359;59;38766;51;32411;33
5787550;5952916;482;33743;144;91;33443;198;159;59198;188;145;42971;59;41340;51;34984;33
5789447;5952916;427;29908;114;72;29763;119;102;38731;139;107;44791;51;36331;45;31752;29
5789448;5952916;431;30188;114;72;29766;119;102;38752;139;107;44811;52;36696;45;32117;29
5789449;5952916;436;30536;117;74;30456;119;103;38812;139;108;44872;53;37122;46;32543;30
5789450;5952916;463;32419;117;74;30456;161;145;38355;184;150;47794;53;37441;46;32861;30
5789451;5952916;464;32457;124;78;31861;161;145;38393;184;150;47832;55;38768;48;34189;32
5789452;5952916;438;30688;124;78;31861;176;153;35907;179;147;38933;58;37910;50;31554;32
5789453;5952916;439;30724;135;85;31383;174;153;35943;179;147;38970;58;38087;51;31731;32
5789454;5952916;440;30811;135;85;31383;174;154;36030;180;153;42348;58;38351;50;31995;32
5789455;5952916;443;30987;144;91;33476;180;157;36207;184;151;39233;59;38571;51;32216;33
5789456;5952916;480;33582;144;91;33476;191;157;59037;188;143;42810;65;41250;57;34894;39
5791353;5952916;435;30454;113;71;29324;122;107;39091;145;112;45151;51;35922;44;31342;29
5791354;5952916;432;30222;116;73;30095;119;104;38859;145;109;44919;52;36513;45;31934;30
5791355;5952916;432;30251;115;73;30008;112;97;32438;139;104;44580;52;36693;45;32114;29
5791356;5952916;435;30438;117;74;30389;119;104;38868;145;109;44928;53;37319;46;32739;30
5791357;5952916;436;30526;117;74;30456;122;106;38936;145;111;44996;53;37433;46;32853;30
5791358;5952916;437;30577;117;74;30456;171;151;35796;176;145;38822;53;37404;46;31049;30
5791359;5952916;434;30379;117;74;30456;164;148;35598;170;153;45037;58;37728;50;31372;32
5791360;5952916;435;30433;135;85;31383;168;149;35652;172;143;38679;58;38096;50;31740;32
5791361;5952916;440;30787;144;91;33476;176;154;36006;179;148;39032;58;38450;50;32094;32
5791362;5952916;444;31098;144;91;33476;180;159;36317;186;153;39343;58;38758;51;32403;33
5791363;5952916;480;33577;144;91;33476;191;157;59032;188;143;42805;65;41146;57;34790;39
5793258;5952916;441;30840;117;74;30569;134;112;39477;150;117;45537;53;37186;46;32607;30
5793259;5952916;436;30539;117;74;30513;127;108;39177;145;113;45236;52;37026;45;32447;30
5793260;5952916;437;30574;115;73;30099;127;109;39211;145;114;45271;52;36990;45;32411;30
5793261;5952916;432;30249;116;74;30176;119;102;38656;139;107;44716;53;36771;45;32191;30
5793262;5952916;431;30145;117;74;30218;119;102;38654;139;107;44714;53;37196;46;32616;30
5793263;5952916;431;30192;117;74;30218;127;107;38237;145;112;44296;53;38302;46;33722;30
5793264;5952916;430;30123;120;76;29930;164;145;35343;167;150;44782;57;37348;50;30993;32
5793265;5952916;431;30164;119;76;29868;164;145;35383;168;150;44822;57;37681;50;31325;32
5793266;5952916;431;30173;126;80;29913;164;145;35392;168;150;44831;57;37878;50;31522;32
5793267;5952916;442;30948;126;80;29913;180;156;36167;183;151;39193;57;38673;50;32317;32
5793268;5952916;448;31345;144;91;33476;189;165;46003;189;156;39590;58;38899;51;32544;33
5793269;5952916;478;33443;141;89;32996;204;167;59713;188;153;43487;64;37712;56;31356;38
5793270;5952916;475;33262;141;89;32996;198;164;59532;188;150;43306;64;40600;56;34245;38
5795164;5952916;442;30914;117;74;30513;134;113;39552;150;118;45612;53;37310;46;32731;30
5795165;5952916;443;30996;117;74;30513;134;115;39633;150;120;45693;53;39086;46;34507;30
5795166;5952916;442;30926;121;77;29906;134;114;39564;150;119;45623;56;38936;49;34356;32
5795167;5952916;427;29924;116;74;30143;119;103;37955;145;108;44014;53;37321;46;32742;30
5795168;5952916;427;29924;120;76;29930;119;103;37955;145;108;44015;54;37883;47;33304;31
5795169;5952916;429;30005;120;76;29930;119;105;38050;145;110;44109;54;38105;47;33526;31
5795170;5952916;426;29854;119;76;29868;164;141;35073;164;146;44512;54;37087;47;30731;31
5795171;5952916;425;29772;120;76;29771;164;140;34992;164;145;44431;57;37388;50;31033;32
5795172;5952916;430;30107;126;80;29913;164;144;35326;167;149;44766;57;37831;50;31475;32
5795173;5952916;433;30336;126;80;29913;164;148;35555;168;153;44994;57;37922;50;31566;32
5795174;5952916;431;30145;126;80;29913;164;145;35364;167;150;44804;58;37556;50;31200;32
5795175;5952916;430;30083;126;80;29913;164;144;35302;167;149;44741;58;37692;50;31337;32
5795176;5952916;476;33299;124;79;29724;198;165;59569;188;151;43342;58;37216;51;30860;33
5797069;5952916;413;28944;110;70;28633;150;110;37308;160;147;42457;-1;-1;-1;-1;-1
5797070;5952916;444;31113;110;70;28633;134;116;39750;150;121;45810;54;37589;47;33009;31
5797071;5952916;446;31230;121;77;29906;134;118;39867;150;123;45927;56;38989;49;34409;32
5797072;5952916;429;30015;121;77;29906;119;105;38046;145;110;44106;56;38705;48;34126;32
5797073;5952916;425;29730;121;77;29906;119;100;37761;139;105;43821;54;38790;47;34210;30
5797074;5952916;423;29612;119;75;29661;112;97;31575;139;104;43716;54;37654;46;33075;30
5797075;5952916;426;29821;119;76;29868;119;102;37865;139;107;43925;54;37987;47;33408;31
5797076;5952916;422;29537;120;76;29771;160;136;34756;161;141;44195;55;37034;48;30679;32
5797077;5952916;424;29664;120;76;29771;160;138;34883;163;143;44322;57;37467;50;31111;32
5797078;5952916;429;29997;126;80;29913;164;143;35216;164;148;44656;57;38004;50;31648;32
5797079;5952916;427;29904;126;80;29913;164;141;35124;164;146;44563;57;37840;50;31485;32
5797080;5952916;428;29949;126;80;29913;164;142;35168;164;147;44608;58;37051;50;30695;32
5797081;5952916;428;29935;126;80;29913;164;142;35154;164;147;44594;58;37671;50;31316;32
5797082;5952916;425;29729;124;79;29724;171;158;34594;169;149;43206;58;37203;51;30847;33
5798974;5952916;394;27571;107;67;27202;139;90;35935;143;127;41084;46;33732;40;29153;26
5798975;5952916;450;31473;119;75;31206;139;121;40111;161;126;46170;54;37936;47;33356;31
5798976;5952916;450;31468;119;75;31206;139;121;40105;161;126;46165;54;37823;47;33244;31
5798977;5952916;450;31474;121;77;29906;139;121;40112;161;126;46172;55;39029;48;34449;32
5798978;5952916;422;29545;119;75;29330;119;102;37584;139;107;43644;55;38500;48;33920;32
5798979;5952916;420;29368;119;75;29219;116;97;31326;139;104;43467;56;38858;49;34279;32
5798980;5952916;420;29368;119;75;29338;116;97;31326;139;104;43467;54;38018;47;33438;31
5798981;5952916;423;29640;120;76;29638;119;103;37679;145;108;43739;55;38406;48;33826;32
5798982;5952916;420;29369;120;76;29771;155;134;34588;157;139;44027;55;36895;48;30539;32
5798983;5952916;418;29243;120;76;29771;155;132;34463;156;137;43902;56;36835;49;30479;31
5798984;5952916;418;29236;123;78;29181;152;132;37835;156;137;43895;56;36826;49;30471;31
5798985;5952916;423;29601;123;78;29181;160;137;34820;161;142;44260;57;36718;49;30363;31
5798986;5952916;421;29463;126;80;29913;155;135;34682;160;140;44122;57;36984;49;30629;31
5798987;5952916;425;29719;126;80;29913;160;139;34938;164;144;44378;58;37444;50;31088;32
5798988;5952916;419;29313;122;77;29190;163;152;34178;165;150;43272;57;36678;50;30323;32
5800879;5952916;387;27075;105;67;26864;123;93;39143;132;120;40588;47;33453;41;28874;26
5800880;5952916;391;27354;106;67;27198;129;97;39422;137;124;40867;46;33728;40;29149;26
5800881;5952916;453;31678;106;67;27198;142;124;36936;161;129;46375;54;33388;47;28809;31
5800882;5952916;421;29457;119;75;31206;134;121;38354;154;126;44414;57;40531;50;35951;32
5800883;5952916;421;29493;120;76;29652;139;121;38390;160;126;44449;57;40308;50;35728;32
5800884;5952916;420;29414;119;75;29329;119;100;37477;139;105;43537;55;38316;48;33737;31
5800885;5952916;416;29150;119;75;29317;109;95;31168;139;102;43310;54;38019;47;33440;31
5800886;5952916;414;29002;119;75;29315;112;97;31311;139;104;43453;54;38310;47;33731;31
5800887;5952916;416;29122;120;76;29638;119;103;37667;139;108;43727;54;38394;47;33815;31
5800888;5952916;408;28580;120;76;28428;142;123;37179;150;128;43238;55;36011;48;29655;31
5800889;5952916;414;28984;120;76;28428;149;128;37583;153;133;43642;56;36600;49;30244;31
5800890;5952916;415;29060;120;76;28551;149;129;37659;154;134;43718;56;36513;49;30157;31
5800891;5952916;418;29271;123;78;29124;155;132;34490;157;137;43929;56;36389;49;30034;31
5800892;5952916;417;29208;123;78;29181;152;132;37806;154;137;43866;57;36864;49;30508;31
5800893;5952916;420;29369;123;78;29181;155;134;34588;157;139;44027;57;37405;49;31049;31
5800894;5952916;417;29222;122;77;29190;160;150;34087;161;151;30551;57;36685;50;30329;32
5800895;5952916;414;28983;121;77;29021;158;147;33847;160;147;30311;57;36585;49;30229;32
5802783;5952916;385;26977;105;66;26614;118;92;39045;130;119;40490;47;33450;41;28871;26
5802784;5952916;384;26857;105;66;26614;115;90;38926;130;117;40370;47;33421;41;28841;26
5802785;5952916;388;27136;106;67;27185;124;94;39205;132;121;40649;47;32927;41;28347;26
5802786;5952916;423;29594;106;67;27198;142;123;35112;160;128;44551;57;33141;50;28561;32
5802787;5952916;419;29357;106;67;27198;134;119;38254;154;124;44314;57;40342;50;35762;32
5802788;5952916;417;29159;120;76;29662;134;116;38056;150;121;44116;57;40095;49;35515;32
5802789;5952916;417;29159;120;76;29662;134;116;38056;150;121;44116;55;38557;48;33978;31
5802790;5952916;418;29228;121;76;29712;119;100;37499;139;105;43559;55;38080;48;33500;31
5802791;5952916;410;28730;117;74;28740;116;97;30775;139;104;42917;55;38353;47;33774;31
5802792;5952916;414;28966;117;74;28740;119;103;37093;139;108;43153;55;38656;48;34076;31
5802793;5952916;405;28352;120;76;28428;134;119;36951;146;124;43010;55;35952;48;29596;31
5802794;5952916;410;28687;120;76;28428;142;124;37286;152;129;43346;56;36237;48;29881;31
5802795;5952916;410;28688;120;76;28551;142;124;37287;152;129;43346;56;36238;49;29882;31
5802796;5952916;411;28802;123;78;29111;142;126;37400;152;131;43460;56;36434;49;30079;31
5802797;5952916;417;29163;123;78;29166;149;131;37762;154;136;43821;57;36755;49;30399;31
5802798;5952916;419;29337;122;77;28838;155;133;34557;157;138;43996;57;36498;49;30142;31
5802799;5952916;410;28666;119;75;28602;152;142;33530;156;143;29994;56;35998;49;29642;31
5802800;5952916;408;28586;120;76;28701;152;141;33451;153;142;29915;56;36166;49;29810;32
5802801;5952916;414;28954;120;76;28871;158;146;33819;160;147;30283;56;36525;49;30169;32
5804689;5952916;383;26811;102;64;26520;111;89;38879;125;108;39727;48;33141;42;28562;27
5804690;5952916;381;26640;103;65;26295;110;87;38708;128;114;40153;47;33133;41;28553;26
5804691;5952916;383;26841;111;70;26505;123;94;39233;130;119;39051;46;33117;40;28537;25
5804692;5952916;386;27033;113;71;26595;129;97;39425;132;122;39243;48;33556;42;28976;27
5804693;5952916;419;29358;113;71;26595;134;119;38255;154;124;44314;57;40406;49;35826;31
5804694;5952916;413;28918;121;77;29840;134;113;37816;150;118;43875;57;40011;49;35432;31
5804695;5952916;412;28844;121;77;29840;134;112;37742;149;117;43801;56;38644;48;34065;32
5804696;5952916;408;28568;116;74;28462;109;95;30640;139;102;42782;56;39093;49;34514;31
5804697;5952916;407;28500;116;74;28500;109;94;30545;139;101;42687;55;38689;48;34110;31
5804698;5952916;415;29028;118;75;29098;119;104;37155;145;109;43215;55;38757;48;34177;31
5804699;5952916;402;28130;119;75;28185;134;116;36729;143;121;42788;55;35668;48;29313;31
5804700;5952916;401;28088;118;75;28053;134;116;36687;143;121;42747;55;35608;48;29253;30
5804701;5952916;405;28338;120;76;28537;134;119;36937;146;124;42997;56;35997;48;29642;31
5804702;5952916;406;28402;118;75;28187;134;120;37001;146;125;43060;56;35816;49;29460;31
5804703;5952916;408;28551;122;77;28838;142;122;37150;150;127;43210;56;35990;49;29635;31
5804704;5952916;410;28700;122;77;28838;142;124;37298;152;129;43358;56;36390;49;30034;31
5804705;5952916;406;28421;122;77;28838;149;139;33286;153;139;29750;56;35812;49;29457;31
5804706;5952916;405;28382;119;75;28596;149;138;33247;153;139;29711;56;36101;49;29746;31
5804707;5952916;409;28656;120;76;28871;152;142;33521;156;143;29985;56;36614;49;30259;32
5806593;5952916;383;26826;100;63;26613;106;89;38894;121;102;39289;48;33238;42;28659;27
5806594;5952916;378;26456;102;65;26206;109;84;38525;125;107;39648;47;32891;41;28312;26
5806595;5952916;377;26422;103;65;26104;110;84;38491;128;111;39936;47;32773;40;28194;26
5806596;5952916;380;26607;111;70;26505;115;91;38999;128;116;38817;46;32499;40;27920;25
5806597;5952916;385;26982;113;71;26595;124;96;39374;132;121;39193;50;33409;43;28830;28
5806598;5952916;390;27292;117;74;26563;135;91;35980;139;126;39503;49;33641;42;29062;27
5806599;5952916;411;28755;117;74;28533;134;111;37652;149;116;43712;56;39762;49;35183;31
5806600;5952916;408;28527;117;74;28533;127;107;37424;145;112;43484;56;39619;48;35040;31
5806601;5952916;405;28328;116;74;28462;112;97;30753;139;104;42894;56;39014;48;34435;30
5806602;5952916;409;28611;117;74;28696;109;96;30682;139;103;42824;55;38827;48;34248;31
5806603;5952916;411;28759;117;74;28740;119;100;36913;139;105;42972;56;35614;48;29258;31
5806604;5952916;402;28126;117;74;27905;134;116;36724;143;121;42784;55;35551;47;29195;30
5806605;5952916;397;27812;117;74;27905;134;112;36411;142;117;42471;55;35414;48;29058;30
5806606;5952916;400;28000;118;75;28178;134;114;36599;143;119;42658;55;35474;48;29119;30
5806607;5952916;403;28182;118;75;28184;134;117;36781;144;122;42841;55;35837;48;29481;30
5806608;5952916;407;28503;120;76;28403;139;121;37102;150;126;43161;55;36181;48;29825;30
5806609;5952916;412;28823;122;77;28838;145;126;37422;152;131;43482;56;36362;49;30006;31
5806610;5952916;401;28066;117;74;27947;143;134;32931;147;134;29395;55;35549;48;29193;31
5806611;5952916;403;28226;117;74;27947;148;136;33091;150;137;29555;55;35954;48;29598;31
5806612;5952916;407;28472;118;75;28161;151;140;41943;153;140;29801;56;36104;48;29749;31
5806613;5952916;430;30089;124;78;29895;179;163;37499;169;152;34417;59;37403;51;31047;33
5808496;5952916;384;26864;99;62;26609;105;94;39240;111;93;38924;49;33168;42;28589;27
5808497;5952916;388;27153;101;64;26920;111;94;39221;123;107;39641;49;33616;43;29037;28
5808498;5952916;386;27049;102;65;26789;113;93;39117;125;108;39762;49;33407;42;28827;27
5808499;5952916;374;26208;104;66;26068;110;85;38600;128;110;38418;47;32631;40;28052;26
5808500;5952916;379;26498;118;75;26857;115;89;38891;128;114;38709;49;32237;42;27657;27
5808501;5952916;390;27333;122;77;27011;139;91;36021;139;126;39544;49;33718;43;29139;28
5808502;5952916;391;27345;117;74;26563;139;92;36033;139;126;39556;49;33916;43;29337;28
5808503;5952916;412;28853;115;73;26467;134;112;37750;149;117;43810;49;39891;43;35311;28
5808504;5952916;408;28541;117;74;28533;127;108;37438;145;113;43498;56;39511;48;34931;31
5808505;5952916;402;28161;115;73;28183;119;102;37058;139;107;43118;55;39190;48;34610;30
5808506;5952916;401;28075;115;73;28113;119;102;37046;139;107;43106;55;39330;48;29228;30
5808507;5952916;398;27858;117;74;27959;134;110;36264;140;115;42324;56;35388;48;29032;31
5808508;5952916;395;27673;116;73;27671;122;107;36079;140;112;42139;54;35089;47;28733;30
5808509;5952916;395;27616;115;73;27565;127;109;36215;140;114;42274;55;35164;47;28808;30
5808510;5952916;399;27917;116;73;27675;134;113;36516;142;118;42576;55;35653;48;29297;30
5808511;5952916;397;27796;120;76;28403;134;111;36395;142;116;42455;55;36054;48;29699;30
5808512;5952916;401;28040;120;76;28403;143;133;32904;147;134;29369;55;36240;48;29884;30
5808513;5952916;398;27839;115;73;27672;140;131;36083;145;131;29168;55;35039;47;28683;31
5808514;5952916;396;27754;117;74;27947;140;129;35998;141;130;29082;55;35299;47;28943;31
5808515;5952916;401;28045;118;75;28161;143;133;32910;147;134;29374;55;35563;48;29207;31
5808516;5952916;404;28282;123;78;28707;149;137;33147;150;137;29611;56;36022;49;29666;31
5808517;5952916;410;28693;123;78;28707;149;135;42239;153;137;30097;56;36208;49;29852;31
5808518;5952916;415;29078;123;78;28707;151;140;42624;157;142;30482;59;37682;51;31326;33
5810399;5952916;380;26600;97;62;26306;106;89;38660;103;90;38660;47;32772;41;28193;26
5810400;5952916;383;26778;98;62;26436;109;91;38838;109;92;38838;49;33199;43;28620;28
5810401;5952916;391;27341;101;64;26997;113;97;39410;128;109;39829;50;33753;43;29174;28
5810402;5952916;370;25887;101;64;26997;107;87;38742;123;105;38097;50;32278;43;27698;28
5810403;5952916;371;25958;111;70;26025;107;87;38756;123;106;38168;46;32605;40;28026;25
5810404;5952916;380;26604;122;77;27011;115;91;38996;128;116;38814;47;32243;41;27664;26
5810405;5952916;391;27390;122;77;27011;139;92;36078;143;127;39600;49;33871;42;29292;28
5810406;5952916;393;27495;115;73;26467;139;94;36183;143;128;39706;49;33966;43;29387;28
5810407;5952916;395;27660;114;72;26284;139;96;36348;148;131;39870;55;36059;48;29703;30
5810408;5952916;407;28476;116;74;28127;122;107;37373;145;112;43433;55;35725;48;29369;30
5810409;5952916;398;27864;115;73;27988;112;97;29936;139;104;42078;55;35349;47;28993;30
5810410;5952916;395;27675;114;72;27701;109;94;29746;139;101;41888;55;35171;47;28816;30
5810411;5952916;399;27929;114;72;27721;134;111;36336;142;116;42395;55;35336;47;28980;30
5810412;5952916;391;27380;115;73;27598;119;103;35786;136;111;39944;54;35031;47;28676;30
5810413;5952916;389;27222;113;72;27169;119;103;35821;136;112;39979;54;34818;47;28463;30
5810414;5952916;391;27394;115;73;27487;119;106;35993;137;114;40150;54;35081;47;28725;30
5810415;5952916;397;27801;115;73;27487;134;111;36400;142;116;42460;55;35397;47;29042;30
5810416;5952916;393;27484;120;76;28403;137;125;35728;140;126;28812;54;34826;47;28470;30
5810417;5952916;392;27452;115;73;27672;137;125;35696;139;126;28780;54;34905;47;28550;30
5810418;5952916;396;27710;115;73;27672;140;129;35954;141;129;29038;55;35335;48;28980;31
5810419;5952916;403;28244;117;74;28122;148;136;33109;150;137;29573;56;35687;48;29331;31
5810420;5952916;407;28465;123;78;28707;149;136;42341;153;138;30200;56;36090;49;29734;31
5810421;5952916;410;28681;123;78;28707;149;135;42227;153;137;30085;56;36197;49;29841;31
5810422;5952916;413;28923;123;78;28707;151;138;42469;156;140;30327;56;37517;49;31161;32
5810423;5952916;445;31130;132;83;30671;173;160;39210;170;145;33942;56;36336;49;31756;32
5810457;5952916;515;36032;139;88;35045;116;106;43173;120;101;42616;59;37765;52;37505;33
5810458;5952916;513;35896;143;90;35848;115;104;43037;120;99;42479;59;38319;52;38060;33
5810462;5952916;515;36071;149;95;36492;104;93;42829;108;93;43604;62;39746;55;39486;35
5810463;5952916;515;36070;149;94;36416;100;90;42606;104;91;43102;62;39817;55;39558;35
5810464;5952916;521;36495;152;96;36784;100;93;42746;103;93;43216;63;40227;56;39967;35
5812300;5952916;374;26166;96;61;25908;104;90;38180;95;84;38226;47;32380;41;27801;26
5812301;5952916;377;26397;97;61;26111;105;86;38457;103;87;38457;47;32857;41;28278;26
5812302;5952916;381;26703;97;62;26252;109;90;38764;106;91;38764;47;33284;41;28705;26
5812303;5952916;370;25899;101;64;26997;111;95;39314;123;106;38109;46;33818;40;29238;25
5812304;5952916;366;25645;111;70;26025;109;92;39068;121;102;37856;46;32048;40;27469;25
5812305;5952916;367;25696;111;70;26025;109;93;39125;121;103;37906;45;31616;39;27037;25
5812306;5952916;369;25809;110;70;25805;109;96;37892;123;104;38019;47;32474;41;27895;26
5812307;5952916;371;25947;109;69;25702;115;102;38158;123;106;38158;47;32353;41;27773;26
5812308;5952916;375;26250;112;71;25929;131;120;39370;132;124;39370;50;33569;43;28989;28
5812309;5952916;375;26262;114;72;26284;132;106;35552;137;124;39383;55;35992;48;29637;30
5812310;5952916;378;26459;117;74;28212;137;109;35749;139;127;39580;55;35799;48;29443;30
5812311;5952916;397;27810;117;74;28188;112;96;29882;139;103;42024;55;35353;47;28997;30
5812312;5952916;393;27512;113;72;27589;109;93;29639;137;100;41780;54;35101;47;28745;30
5812313;5952916;391;27340;113;71;27377;109;96;29853;136;106;40093;54;34811;47;28456;30
5812314;5952916;390;27268;113;71;27350;112;96;29410;133;107;39650;54;34828;47;28472;30
5812315;5952916;385;26963;112;71;27013;116;98;29084;131;110;39834;53;34525;46;28169;29
