from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952912;469;32855;127;80;32774;162;149;38085;184;153;47524;55;36020;48;35921;32
5785641;5952912;455;31838;135;85;32015;170;152;38291;189;146;41452;57;36231;50;36132;32
5785642;5952912;456;31917;135;85;32015;173;154;38408;189;147;41570;57;36058;50;34182;32
5785643;5952912;460;32210;144;91;34075;183;158;38701;189;151;41863;58;38614;50;36739;32
5787544;5952912;462;32366;124;79;32235;160;142;37595;172;146;47035;54;35594;48;35496;31
5787545;5952912;463;32435;124;79;32235;160;143;37664;172;147;47104;54;35881;48;35782;31
5787546;5952912;467;32660;124;79;32235;162;146;37890;184;150;47329;57;35084;50;33209;32
5787547;5952912;453;31724;135;85;32015;177;159;38790;187;153;41951;57;35475;50;33600;32
5787548;5952912;450;31499;135;85;32015;174;155;38517;184;149;41678;57;35596;50;33721;32
5787549;5952912;452;31633;135;85;32015;177;159;38810;186;153;41971;58;35840;50;33964;32
5787550;5952912;489;34215;144;91;34075;199;160;58674;189;146;42448;58;38413;50;36538;32
5789447;5952912;430;30091;115;73;30136;120;102;38208;137;108;44050;50;33405;44;33306;29
5789448;5952912;434;30371;115;73;30139;120;103;38229;137;108;44070;50;33769;44;33671;29
5789449;5952912;439;30720;117;74;30829;120;104;38289;137;109;44130;52;34195;45;34096;29
5789450;5952912;466;32602;117;74;30829;162;145;37832;184;149;47271;52;34514;45;34415;29
5789451;5952912;466;32640;124;79;32235;162;146;37870;184;150;47309;54;35841;48;35743;31
5789452;5952912;445;31160;124;79;32235;176;153;35384;179;147;38545;57;34983;49;33108;32
5789453;5952912;446;31196;135;85;32015;174;154;35420;179;148;38582;57;35160;50;33285;32
5789454;5952912;447;31283;135;85;32015;174;155;35507;180;153;41960;57;35424;50;33549;32
5789455;5952912;449;31460;144;91;34108;180;158;35683;184;151;38845;58;35645;50;33769;32
5789456;5952912;486;34054;144;91;34108;193;158;58514;189;144;42287;64;38323;56;36448;38
5791353;5952912;438;30637;113;72;29698;123;108;38568;143;113;44409;50;32995;43;32896;28
5791354;5952912;434;30405;116;73;30468;120;104;38336;143;110;44177;51;33586;45;33487;29
5791355;5952912;435;30434;116;73;30381;113;97;31915;137;105;43838;51;33767;44;33668;29
5791356;5952912;440;30782;117;74;30859;120;104;38345;143;110;44186;52;34392;45;34293;29
5791357;5952912;443;30998;117;74;30829;123;107;38413;143;113;44254;52;34506;45;34407;29
5791358;5952912;444;31049;117;74;30829;171;152;35273;175;146;38434;52;34478;45;32602;29
5791359;5952912;441;30851;117;74;30829;165;149;35075;169;153;44514;57;34801;49;32926;32
5791360;5952912;442;30905;135;85;32015;168;150;35129;172;143;38291;57;35169;49;33294;32
5791361;5952912;447;31259;144;91;34108;176;155;35483;179;149;38644;57;35523;49;33648;32
5791362;5952912;451;31570;144;91;34108;180;159;35794;186;153;38955;57;35832;50;33956;32
5791363;5952912;486;34050;144;91;34108;193;158;58509;189;144;42282;64;38219;56;36344;38
5793258;5952912;443;31023;117;74;30942;135;113;38954;149;117;45014;52;34259;45;34160;30
5793259;5952912;439;30723;117;74;30886;127;109;38654;143;115;44495;51;34099;45;34001;29
5793260;5952912;439;30757;116;73;30472;127;109;38688;143;115;44529;51;34063;45;33964;29
5793261;5952912;439;30717;116;74;30646;120;103;38133;137;109;43974;51;33844;45;33745;29
5793262;5952912;437;30617;117;74;30755;120;103;38131;137;109;43972;52;34269;45;34170;29
