from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952896;509;35652;144;91;37435;170;159;51129;193;162;51129;52;36727;46;36727;31
5785641;5952896;495;34635;152;96;36676;178;162;51335;197;150;45726;54;36938;48;36938;31
5785642;5952896;496;34715;152;96;36676;181;163;51453;197;151;45844;54;36764;48;34988;31
5785643;5952896;500;35008;161;102;38736;191;168;51746;197;156;46137;54;39321;48;37545;31
5787544;5952896;502;35163;141;89;36896;168;152;50640;181;155;50640;51;36301;45;36301;30
5787545;5952896;503;35232;141;89;36896;168;153;50709;181;156;50709;51;36587;45;36587;30
5787546;5952896;507;35458;141;89;36896;170;156;50934;193;159;50934;54;35791;48;34014;31
5787547;5952896;493;34521;152;96;36676;185;169;51834;194;157;46225;54;36182;48;34405;31
5787548;5952896;490;34296;152;96;36676;183;165;51561;191;153;45952;54;36303;48;34527;31
5787549;5952896;492;34430;152;96;36676;185;169;51854;192;157;46245;54;36546;48;34770;31
5787550;5952896;529;37012;161;102;38736;204;162;62380;204;161;59162;54;39120;48;37343;31
5789447;5952896;470;32888;132;84;34797;125;104;41914;145;115;47873;47;34111;42;34111;28
5789448;5952896;474;33169;132;84;34800;125;105;41935;145;116;47893;47;34476;42;34476;28
5789449;5952896;479;33517;134;85;35490;125;106;41995;145;116;47954;48;34902;43;34902;28
5789450;5952896;506;35399;134;85;35490;170;155;50876;193;158;50876;48;35221;43;35221;28
5789451;5952896;506;35437;141;89;36896;170;156;50914;193;159;50914;51;36548;45;36548;30
5789452;5952896;485;33957;141;89;36896;185;163;48428;185;151;42819;53;35690;47;33913;31
5789453;5952896;486;33994;152;96;36676;183;164;48464;185;152;42855;54;35867;48;34090;31
5789454;5952896;487;34081;152;96;36676;183;165;48551;187;157;46234;54;36130;48;34354;31
5789455;5952896;489;34257;161;102;38769;190;168;48728;191;155;43119;54;36351;48;34575;31
5789456;5952896;526;36852;161;102;38769;198;160;62220;205;158;59001;60;39030;54;37254;37
5791353;5952896;478;33434;130;83;34359;129;110;42274;151;120;48233;46;33702;41;33702;27
5791354;5952896;474;33202;133;84;35129;125;106;42042;151;117;48000;48;34293;43;34293;28
5791355;5952896;475;33231;133;84;35042;121;101;41703;145;112;47662;48;34473;42;34473;28
5791356;5952896;480;33579;134;85;35520;125;106;42051;151;117;48010;48;35099;43;35099;28
