from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952969;404;28284;117;74;28488;135;123;29924;150;123;30292;47;28792;43;28792;28
5785641;5952969;367;25668;115;73;25883;144;126;30130;156;119;30497;50;29003;44;29003;28
5785642;5952969;368;25747;115;73;25883;146;128;30248;157;121;30615;50;28404;44;26628;28
5785643;5952969;372;26040;124;79;27943;152;132;30541;158;125;30908;50;30961;45;29184;28
5787544;5952969;397;27795;114;72;27949;131;116;29435;141;116;29802;47;28366;42;28366;27
5787545;5952969;398;27864;114;72;27949;131;117;29504;141;117;29871;47;28652;42;28652;27
5787546;5952969;401;28090;114;72;27949;135;121;29730;149;120;30097;49;27430;44;25654;27
5787547;5952969;365;25554;115;73;25883;151;133;30629;159;127;30996;49;27821;44;26045;27
5787548;5952969;362;25328;115;73;25883;149;130;30356;155;123;30724;49;27943;44;26166;27
5787549;5952969;364;25463;115;73;25883;151;134;30649;159;127;31016;50;28186;45;26410;28
5787550;5952969;401;28045;124;79;27943;168;126;42108;167;125;42854;50;30760;45;28983;28
5789447;5952969;358;25028;104;66;25186;91;72;27035;112;76;27035;43;26176;38;26176;24
5789448;5952969;357;25025;104;66;25183;91;72;27056;112;76;27056;43;26541;38;26541;24
5789449;5952969;358;25085;105;66;25319;91;73;27116;112;77;27116;44;26967;39;26967;25
5789450;5952969;400;28031;105;66;25319;135;120;29671;149;119;30038;44;27286;39;27286;25
5789451;5952969;401;28069;114;72;27949;135;120;29709;149;119;30077;47;28613;42;28613;27
5789452;5952969;357;24990;114;72;27949;149;128;27223;151;121;27591;49;27330;44;25553;27
5789453;5952969;358;25026;115;73;25883;149;128;27260;151;121;27627;49;27506;44;25730;27
5789454;5952969;359;25113;115;73;25883;149;130;27346;152;127;31006;49;27770;44;25994;27
5789455;5952969;361;25290;124;79;27976;154;132;27523;156;125;27890;50;27991;45;26215;28
5789456;5952969;398;27884;124;79;27976;161;124;41947;168;122;42693;56;30670;51;28893;34
5791353;5952969;363;25388;103;65;25492;95;77;27395;118;81;27395;42;25767;38;25767;24
5791354;5952969;359;25156;104;66;25029;91;74;27163;118;78;27163;44;26358;39;26358;25
5791355;5952969;353;24678;103;66;24942;85;69;26824;112;73;26824;43;26538;39;26538;24
5791356;5952969;353;24740;103;65;24890;91;74;27172;118;78;27172;44;27164;39;27164;25
5791357;5952969;355;24828;105;66;25319;95;77;27240;118;81;27240;44;27278;39;27278;25
5791358;5952969;355;24879;105;66;25319;148;126;27112;148;119;27479;44;26824;39;25048;25
5791359;5952969;353;24681;105;66;25319;142;123;26914;141;123;27282;49;27147;44;25371;27
5791360;5952969;353;24735;115;73;25883;145;124;26969;144;117;27336;49;27515;44;25739;27
5791361;5952969;358;25089;124;79;27976;149;129;27322;151;122;27689;49;27870;44;26093;27
5791362;5952969;363;25400;124;79;27976;154;134;27633;159;127;28000;49;28178;44;26402;28
5791363;5952969;398;27879;124;79;27976;161;124;41942;168;122;42688;56;30565;51;28789;34
5793258;5952969;368;25774;106;67;25986;101;83;27781;123;87;27781;44;27031;40;27031;25
5793259;5952969;364;25473;106;67;25930;96;78;27481;118;82;27481;43;26871;39;26871;25
5793260;5952969;364;25508;105;67;25516;96;79;27515;118;83;27515;44;26835;39;26835;25
5793261;5952969;351;24551;103;65;24676;91;73;26960;112;77;26960;44;26616;39;26616;25
5793262;5952969;349;24447;103;65;24719;91;73;26958;112;77;26958;44;27041;39;27041;25
5793263;5952969;350;24494;103;65;24719;100;78;26541;118;82;26541;44;28147;39;28147;25
5793264;5952969;349;24426;102;65;24430;142;120;26659;136;119;27026;48;26768;43;24992;27
5793265;5952969;350;24466;102;64;24368;142;120;26699;138;119;27067;48;27101;43;25324;27
5793266;5952969;350;24475;107;68;24413;142;120;26708;138;120;27076;49;27298;43;25521;27
5793267;5952969;361;25250;107;68;24413;151;132;27483;153;125;27850;49;28093;43;26316;27
5793268;5952969;366;25647;124;79;27976;161;145;27880;159;130;28248;49;28319;44;26543;28
5793269;5952969;396;27745;122;77;27496;176;134;42623;167;132;43370;55;27131;50;25355;33
5793270;5952969;394;27564;122;77;27496;170;131;42443;167;129;43189;55;30020;50;28244;33
5795164;5952969;369;25848;106;67;25930;105;84;27856;123;88;27856;44;27155;39;27155;25
5795165;5952969;370;25930;106;67;25930;108;85;27937;123;89;27937;44;28931;39;28931;25
5795166;5952969;369;25860;102;65;24406;105;84;27868;123;88;27868;47;28781;42;28781;27
5795167;5952969;346;24226;103;65;24643;91;73;26259;118;77;26259;44;27166;40;27166;25
5795168;5952969;346;24226;102;65;24430;91;73;26259;118;77;26259;45;27728;41;27728;26
5795169;5952969;347;24307;102;65;24430;91;75;26354;118;79;26354;45;27950;41;27950;26
5795170;5952969;345;24156;102;64;24368;142;116;26389;135;115;26756;45;26507;41;24730;26
5795171;5952969;344;24075;101;64;24271;142;115;26308;135;114;26675;48;26808;43;25032;27
5795172;5952969;349;24409;107;68;24413;142;120;26642;136;119;27010;49;27250;43;25474;27
5795173;5952969;352;24638;107;68;24413;142;123;26871;138;122;27238;49;27341;43;25565;27
5795174;5952969;349;24447;107;68;24413;142;120;26681;136;119;27048;49;26975;44;25199;27
5795175;5952969;348;24385;107;68;24413;142;119;26618;136;118;26985;49;27112;44;25336;27
5795176;5952969;394;27601;105;66;24224;170;132;42479;167;130;43226;49;26636;44;24859;28
5797069;5952969;354;24807;100;63;24801;109;69;24335;115;99;25779;-1;-1;-1;-1;-1
5797070;5952969;372;26047;100;63;24801;108;87;28054;123;91;28054;45;27433;40;27433;26
5797071;5952969;374;26164;102;65;24406;108;88;28171;123;92;28171;47;28833;42;28833;27
5797072;5952969;347;24317;102;65;24406;91;75;26350;118;79;26350;47;28550;42;28550;26
5797073;5952969;343;24032;102;65;24406;91;71;26065;112;75;26065;45;28635;40;28635;25
5797074;5952969;342;23914;101;64;24161;85;69;25961;112;73;25961;45;27499;40;27499;25
5797075;5952969;345;24123;102;64;24368;91;72;26169;112;76;26169;45;27832;41;27832;26
5797076;5952969;341;23839;101;64;24271;137;111;26072;134;111;26440;46;26454;42;24678;27
5797077;5952969;342;23966;101;64;24271;137;113;26199;135;112;26566;48;26886;43;25110;27
5797078;5952969;347;24299;107;68;24413;142;118;26533;135;117;26900;49;27424;43;25647;27
5797079;5952969;346;24206;107;68;24413;142;117;26440;135;116;26807;49;27260;43;25484;27
5797080;5952969;346;24251;107;68;24413;142;117;26484;135;116;26852;49;26471;44;24695;27
5797081;5952969;346;24237;107;68;24413;142;117;26470;135;116;26838;49;27091;44;25315;27
5797082;5952969;343;24031;105;66;24224;146;130;42343;144;128;43089;49;26623;44;24846;28
5798974;5952969;335;23434;95;60;23370;95;50;22962;97;80;24406;37;23577;34;23577;21
5798975;5952969;377;26407;109;69;26623;110;92;28415;133;96;28415;45;27781;41;27781;26
5798976;5952969;377;26402;109;69;26623;110;92;28409;133;96;28409;45;27668;40;27668;26
5798977;5952969;377;26408;102;65;24406;110;92;28416;133;96;28416;46;28874;42;28874;26
5798978;5952969;341;23847;100;63;23830;91;72;25888;112;76;25888;46;28345;42;28345;26
5798979;5952969;338;23670;99;63;23720;88;69;25712;112;73;25712;47;28703;42;28703;27
5798980;5952969;338;23671;100;63;23839;88;69;25712;112;73;25712;45;27863;41;27863;26
5798981;5952969;342;23942;101;64;24139;91;73;25983;118;77;25983;46;28251;42;28251;27
5798982;5952969;338;23671;101;64;24271;132;109;25904;130;108;26272;46;26315;42;24538;27
5798983;5952969;336;23546;101;64;24271;132;107;25779;129;106;26146;48;26255;42;24478;26
5798984;5952969;336;23539;104;66;23681;129;102;26139;129;106;26139;48;26246;42;24470;26
5798985;5952969;341;23903;104;66;23681;137;112;26137;134;111;26504;48;26138;43;24362;26
5798986;5952969;340;23765;107;68;24413;132;110;25999;134;109;26366;48;26404;43;24628;26
5798987;5952969;343;24021;107;68;24413;137;114;26255;135;113;26622;49;26864;44;25087;27
5798988;5952969;337;23615;102;65;23690;139;127;25494;140;124;25028;48;26098;43;24322;27
5800879;5952969;328;22938;94;60;23032;79;50;22465;87;73;23910;38;23298;34;23298;21
5800880;5952969;332;23217;95;60;23366;85;54;22744;92;77;24189;37;23573;34;23573;21
5800881;5952969;380;26612;95;60;23366;113;95;28619;133;99;28619;45;23201;41;23201;26
5800882;5952969;339;23759;109;69;26623;108;91;26658;128;95;26658;49;30376;43;30376;27
5800883;5952969;340;23795;101;64;24152;113;91;26694;133;95;26694;48;30153;43;30153;27
5800884;5952969;339;23716;100;63;23829;91;70;25781;112;74;25781;46;28161;41;28161;26
5800885;5952969;335;23452;100;63;23818;82;67;25554;112;71;25554;45;27864;41;27864;26
5800886;5952969;333;23304;100;63;23815;85;69;25697;112;73;25697;46;28155;41;28155;26
5800887;5952969;335;23424;101;64;24139;91;73;25971;112;77;25971;46;28239;41;28239;26
5800888;5952969;327;22882;101;64;22928;117;93;25483;122;97;25483;46;25431;41;23654;25
5800889;5952969;333;23286;101;64;22928;125;99;25887;124;103;25887;47;26019;42;24243;26
5800890;5952969;334;23362;101;64;23052;125;100;25963;126;104;25963;48;25932;42;24156;26
5800891;5952969;337;23573;104;66;23624;132;108;25806;130;107;26174;47;25809;42;24033;26
5800892;5952969;336;23510;104;66;23681;129;102;26110;126;106;26110;48;26283;43;24507;26
5800893;5952969;338;23671;104;66;23681;132;109;25904;130;108;26272;48;26824;43;25048;26
5800894;5952969;336;23524;102;65;23690;137;125;25403;134;123;24937;48;26104;43;24328;27
5800895;5952969;333;23285;102;64;23521;136;122;25164;132;120;24697;48;26005;43;24228;27
5802783;5952969;326;22840;93;59;22782;75;49;22367;86;71;23812;38;23295;34;23295;21
5802784;5952969;325;22720;93;59;22782;71;47;22248;86;70;23692;38;23266;34;23266;21
5802785;5952969;329;22999;95;60;23353;81;51;22527;87;74;23971;38;22771;34;22771;21
5802786;5952969;341;23896;95;60;23366;117;93;26795;133;97;26795;48;22954;43;22954;27
5802787;5952969;338;23659;95;60;23366;108;90;26558;128;94;26558;48;30187;43;30187;27
5802788;5952969;335;23461;101;64;24162;108;87;26360;123;91;26360;48;29940;43;29940;27
5802789;5952969;335;23462;101;64;24162;108;87;26360;123;91;26360;46;28402;42;28402;26
5802790;5952969;336;23530;101;64;24212;91;71;25803;112;75;25803;46;27925;42;27925;26
5802791;5952969;329;23032;98;62;23241;88;70;25161;112;74;25161;46;28198;41;28198;26
5802792;5952969;332;23268;98;62;23240;91;73;25397;112;77;25397;46;28500;42;28500;26
5802793;5952969;324;22654;101;64;22928;108;90;25255;119;94;25255;46;25372;41;23595;25
5802794;5952969;328;22990;101;64;22928;117;94;25590;124;98;25590;47;25657;42;23880;26
5802795;5952969;328;22990;101;64;23052;117;94;25591;124;98;25591;47;25658;42;23881;26
5802796;5952969;330;23104;104;66;23611;117;96;25704;124;100;25704;47;25854;42;24078;26
5802797;5952969;335;23465;104;66;23666;125;101;26066;126;105;26066;48;26175;43;24398;26
5802798;5952969;338;23639;102;65;23338;132;109;25873;130;108;26240;48;25917;43;24141;26
5802799;5952969;328;22968;100;63;23103;131;117;24846;128;115;24380;47;25418;42;23641;26
5802800;5952969;327;22888;100;64;23201;131;116;24767;125;114;24301;47;25586;42;23809;26
5802801;5952969;332;23257;101;64;23371;136;122;25135;132;119;24669;48;25945;43;24168;27
5804689;5952969;324;22674;95;60;22688;67;47;22201;79;60;23049;39;22986;35;22986;22
5804690;5952969;321;22503;93;59;22463;67;44;22030;83;67;23475;39;22978;35;22978;21
5804691;5952969;324;22704;98;62;22673;79;52;22555;86;72;22373;37;22961;33;22961;20
5804692;5952969;327;22896;100;63;22763;85;54;22747;87;74;22565;39;23401;35;23401;22
5804693;5952969;338;23660;100;63;22763;108;90;26559;128;94;26559;48;30250;43;30250;26
5804694;5952969;332;23221;102;64;24340;108;83;26120;123;87;26120;48;29856;43;29856;26
5804695;5952969;331;23147;102;64;24340;108;82;26046;123;86;26046;47;28489;42;28489;26
5804696;5952969;327;22871;97;61;22962;82;68;25026;112;72;25026;47;28938;42;28938;26
5804697;5952969;326;22802;97;61;23000;82;66;24931;112;70;24931;46;28534;41;28534;26
5804698;5952969;333;23330;99;63;23598;91;74;25459;118;78;25459;47;28602;42;28602;26
5804699;5952969;320;22432;100;63;22686;108;86;25033;116;90;25033;46;25088;42;23312;25
5804700;5952969;320;22390;99;63;22553;108;86;24991;116;90;24991;46;25028;41;23252;25
5804701;5952969;323;22640;101;64;23037;108;89;25241;119;93;25241;47;25417;42;23641;26
5804702;5952969;324;22704;99;63;22688;108;90;25305;119;94;25305;47;25236;42;23459;26
5804703;5952969;326;22854;102;65;23338;117;92;25454;122;96;25454;47;25410;42;23634;26
5804704;5952969;329;23002;102;65;23338;117;95;25602;124;99;25602;47;25809;42;24033;26
5804705;5952969;325;22724;102;65;23338;128;114;24602;125;112;24136;47;25232;42;23456;26
5804706;5952969;324;22684;100;63;23097;128;113;24563;125;111;24097;47;25521;42;23745;26
5804707;5952969;328;22958;101;64;23371;131;117;24837;128;115;24371;48;26034;43;24258;27
5806593;5952969;324;22688;95;60;22781;62;47;22216;77;54;22611;39;23083;35;23083;22
5806594;5952969;319;22319;92;59;22374;65;42;21846;79;59;22970;38;22736;34;22736;21
5806595;5952969;318;22285;92;58;22272;67;41;21813;83;63;23258;38;22618;34;22618;21
5806596;5952969;321;22470;98;62;22673;71;48;22321;83;68;22139;37;22344;33;22344;20
5806597;5952969;326;22845;100;63;22763;81;54;22696;87;74;22514;41;23254;36;23254;23
5806598;5952969;331;23155;98;62;22731;91;50;23007;93;78;22825;40;23486;36;23486;22
5806599;5952969;329;23057;97;62;23033;108;81;25956;123;85;25956;47;29607;42;29607;26
5806600;5952969;326;22829;97;62;23033;100;78;25728;118;82;25728;47;29464;42;29464;26
5806601;5952969;323;22630;97;61;22962;85;69;25139;112;73;25139;47;28859;42;28859;25
5806602;5952969;327;22913;98;62;23197;82;68;25068;112;72;25068;47;28672;42;28672;26
5806603;5952969;329;23061;98;62;23240;91;70;25217;112;74;25217;47;25033;42;23257;26
5806604;5952969;320;22428;98;62;22405;108;86;25028;116;90;25028;46;24971;41;23194;25
5806605;5952969;316;22115;98;62;22405;108;82;24715;114;86;24715;46;24833;41;23057;25
5806606;5952969;319;22302;99;63;22679;108;85;24903;116;89;24903;46;24894;41;23118;25
5806607;5952969;321;22485;99;63;22685;108;87;25085;118;91;25085;46;25256;41;23480;25
5806608;5952969;326;22805;100;63;22903;113;92;25406;122;96;25406;46;25601;41;23824;25
5806609;5952969;330;23125;102;65;23338;120;96;25726;124;100;25726;47;25782;42;24005;26
5806610;5952969;320;22368;98;62;22448;122;109;24247;121;107;23781;46;24968;41;23192;26
5806611;5952969;322;22528;98;62;22448;127;111;24407;124;109;23941;46;25374;41;23597;26
5806612;5952969;325;22774;99;63;22662;130;119;24187;125;112;24187;47;25524;42;23748;26
5806613;5952969;348;24391;105;66;24396;157;143;25803;142;131;34300;50;26822;45;25046;28
5808496;5952969;325;22745;95;60;22777;62;52;22562;65;48;22246;40;23013;36;23013;22
5808497;5952969;329;23016;96;61;23088;68;52;22543;78;59;22963;40;23461;36;23461;22
5808498;5952969;327;22912;96;61;22957;69;50;22439;79;61;23084;40;23252;36;23252;22
5808499;5952969;315;22070;91;58;22236;67;43;21922;83;63;21740;38;22476;34;22476;21
5808500;5952969;319;22361;105;67;23025;71;47;22213;83;67;22031;40;22050;36;22050;22
5808501;5952969;331;23196;109;69;23180;95;51;23048;93;79;22866;40;23563;36;23563;23
5808502;5952969;332;23208;98;62;22731;95;51;23060;93;79;22878;40;23761;36;23761;23
5808503;5952969;331;23155;96;61;22635;108;82;26054;123;86;26054;40;29736;36;29736;23
5808504;5952969;326;22843;97;62;23033;100;78;25742;118;82;25742;47;29356;42;29356;26
5808505;5952969;321;22463;96;61;22683;91;72;25362;112;76;25362;46;29035;41;29035;25
5808506;5952969;320;22378;96;61;22614;91;72;25350;112;76;25350;46;25003;41;23227;25
5808507;5952969;317;22160;98;62;22459;108;80;24568;113;84;24568;47;24807;42;23031;26
5808508;5952969;314;21975;97;61;22172;95;77;24383;113;81;24383;46;24508;41;22732;25
5808509;5952969;313;21918;96;61;22065;100;79;24519;113;83;24519;46;24584;41;22807;25
5808510;5952969;317;22219;97;61;22175;108;83;24820;114;87;24820;46;25073;41;23296;25
5808511;5952969;316;22098;100;63;22903;108;82;24699;114;86;24699;46;25474;41;23698;25
5808512;5952969;319;22342;100;63;22903;122;109;24221;121;106;23755;46;25660;41;23883;25
5808513;5952969;316;22141;96;61;22172;117;101;24387;120;103;23554;46;24458;41;22682;25
5808514;5952969;315;22056;98;62;22448;117;100;24302;117;102;23468;46;24718;41;22942;25
5808515;5952969;319;22347;99;63;22662;122;109;24226;121;106;23760;46;24982;42;23206;26
5808516;5952969;323;22584;104;66;23207;128;112;24463;124;110;23997;47;25442;42;23665;26
5808517;5952969;329;22996;104;66;23207;129;116;24483;126;109;24483;47;25627;42;23851;26
5808518;5952969;334;23380;104;66;23207;130;121;24868;129;114;24868;50;27102;45;25325;28
5810399;5952969;321;22482;93;59;22474;65;47;21982;57;44;21982;38;22617;35;22617;21
5810400;5952969;324;22659;94;60;22604;67;50;22160;64;47;22160;41;23044;36;23044;23
5810401;5952969;331;23204;96;61;23166;69;54;22732;83;62;23151;41;23598;36;23598;23
5810402;5952969;311;21750;96;61;23166;63;45;22064;78;58;21419;41;22123;36;22123;23
5810403;5952969;312;21821;94;59;22193;63;45;22078;78;59;21490;37;22450;33;22450;20
5810404;5952969;321;22467;109;69;23180;71;48;22318;83;68;22136;38;22056;34;22056;21
5810405;5952969;332;23253;109;69;23180;95;52;23104;97;79;22922;40;23716;36;23716;22
5810406;5952969;334;23358;96;61;22635;95;53;23210;97;81;23028;41;23811;36;23811;23
5810407;5952969;336;23523;95;60;22452;95;55;23374;102;83;23192;47;25479;42;23702;25
5810408;5952969;325;22778;97;62;22627;95;77;25677;118;81;25677;46;25144;41;23368;25
5810409;5952969;317;22166;95;60;22488;85;69;24322;112;73;24322;46;24769;41;22992;25
5810410;5952969;314;21977;94;60;22201;82;66;24132;112;70;24132;46;24591;41;22815;25
5810411;5952969;318;22231;94;60;22222;108;81;24640;114;85;24640;46;24755;41;22979;25
5810412;5952969;310;21682;96;61;22098;91;73;24090;112;77;24090;45;24451;41;22675;25
5810413;5952969;307;21524;94;60;21669;91;73;24125;110;77;24125;45;24238;40;22462;25
5810414;5952969;310;21696;95;60;21987;91;76;24296;113;80;24296;46;24501;41;22724;25
5810415;5952969;316;22103;95;60;21987;108;82;24704;114;86;24704;46;24817;41;23041;25
5810416;5952969;311;21786;100;63;22903;113;96;24032;116;98;23198;45;24246;41;22470;25
5810417;5952969;311;21754;96;61;22172;113;95;24000;115;98;23166;45;24325;41;22549;25
5810418;5952969;314;22012;96;61;22172;117;99;24258;117;102;23424;46;24755;41;22979;25
5810419;5952969;322;22546;97;62;22622;127;111;24425;124;109;23959;47;25106;42;23330;26
5810420;5952969;325;22767;104;66;23207;129;117;24586;125;110;24586;47;25510;42;23733;26
5810421;5952969;328;22983;104;66;23207;129;116;24471;126;109;24471;47;25617;42;23840;26
5810422;5952969;332;23225;104;66;23207;130;119;24713;127;112;24713;47;26936;43;25160;28
5810423;5952969;352;24628;111;70;24439;151;140;27514;141;124;33825;47;26303;43;26303;28
5810457;5952969;358;25093;100;64;24158;92;79;26083;89;74;26083;44;25959;38;25961;23
5810458;5952969;357;24956;104;66;24961;90;77;25947;89;72;25947;44;26514;38;26515;23
5810462;5952969;353;24722;110;70;25057;80;71;25739;80;72;26514;47;27940;41;27941;25
5810463;5952969;353;24717;110;69;24981;74;68;25516;75;69;25516;47;28012;41;28013;25
5810464;5952969;354;24758;111;70;25013;74;71;25656;75;71;25656;48;28421;42;28422;26
5812300;5952969;315;22047;92;58;22076;61;41;21548;50;38;21548;38;22225;35;22225;21
5812301;5952969;318;22279;93;59;22279;63;44;21779;57;41;21779;38;22702;35;22702;21
5812302;5952969;323;22585;93;59;22420;67;49;22086;60;46;22086;38;23129;35;23129;21
5812303;5952969;311;21762;96;61;23166;68;53;22636;78;58;21431;37;23663;33;23663;20
5812304;5952969;307;21508;94;59;22193;66;49;22390;77;54;21178;37;21893;33;21893;20
5812305;5952969;308;21559;94;59;22193;66;50;22447;77;55;21228;36;21461;33;21461;20
5812306;5952969;310;21672;93;59;21973;66;54;21214;78;57;21341;38;22319;35;22319;21
5812307;5952969;312;21810;93;59;21870;72;62;21480;78;59;21480;38;22198;35;22198;21
5812308;5952969;316;22131;93;59;22097;90;79;22692;87;76;22692;41;23414;37;23414;23
5812309;5952969;316;22144;95;60;22452;91;65;22578;92;76;22705;47;25412;42;23636;25
5812310;5952969;319;22341;98;62;22712;95;68;22775;93;79;22902;46;25219;41;23442;25
5812311;5952969;316;22112;97;62;22688;85;68;24268;112;72;24268;46;24772;41;22996;25
5812312;5952969;312;21814;94;60;22089;82;65;24025;112;69;24025;45;24521;40;22744;25
5812313;5952969;309;21642;93;59;21877;82;68;24239;112;72;24239;45;24231;40;22455;24
5812314;5952969;308;21570;93;59;21850;85;69;23796;108;73;23796;45;24248;40;22471;25
5812315;5952969;304;21265;93;59;21514;88;71;23980;105;82;27923;44;23945;40;22168;24
5812316;5952969;307;21467;94;60;21731;91;74;23672;108;86;28216;45;24315;40;22539;24
5812317;5952969;310;21713;94;60;21731;100;78;23918;113;83;23918;45;24723;40;22946;24
5812318;5952969;309;21650;94;60;21731;113;94;23896;113;96;23062;45;24104;40;22328;25
5812319;5952969;307;21503;96;61;22172;106;92;23749;111;94;22916;45;24334;40;22558;25
5812320;5952969;319;22345;97;62;22622;122;109;24224;121;106;23758;46;24823;42;23047;26
5812321;5952969;320;22367;97;62;22622;122;109;24246;121;107;23780;47;25192;42;23415;26
5812322;5952969;322;22568;97;62;22622;124;108;23940;118;101;23940;47;25619;42;23843;26
5812323;5952969;326;22825;104;66;23207;126;112;24197;122;105;24197;47;24965;42;23189;26
5812324;5952969;333;23302;115;73;24193;130;120;24790;127;113;24790;47;26492;43;26492;28
5812325;5952969;351;24589;115;73;24193;151;139;27475;141;123;32893;47;26310;43;26310;28
5812353;5952969;328;22992;95;60;22737;73;63;23416;81;60;24448;41;24482;36;24484;22
5812354;5952969;331;23197;97;61;23035;75;66;23622;83;63;24654;41;24702;36;24703;22
5812355;5952969;339;23749;99;63;23613;80;74;24198;88;71;25230;43;24839;37;24841;22
5812356;5952969;338;23631;99;63;23610;78;72;24058;86;69;25090;42;25261;37;25263;22
5812358;5952969;365;25518;99;63;23887;100;92;26479;104;87;27020;42;25941;37;25942;22
5812359;5952969;362;25316;107;68;24617;98;89;26278;98;84;26818;45;25970;39;25972;24
5812360;5952969;357;24981;106;67;24788;95;85;25942;95;80;26483;45;26919;39;26921;24
5812361;5952969;355;24843;107;68;25018;91;80;25633;89;78;26344;45;26892;39;26893;24
5812362;5952969;352;24630;106;67;24687;85;74;25165;86;70;25088;45;27496;39;27498;24
5812363;5952969;350;24517;107;68;24704;81;72;25049;86;68;24975;46;27426;40;27428;25
5812364;5952969;350;24484;108;69;24689;78;67;25024;78;68;25024;46;27669;40;27671;25
5812365;5952969;351;24580;108;69;24694;78;68;25132;78;69;25132;46;28137;40;28139;25
5812366;5952969;350;24483;110;70;24815;75;69;32414;78;72;25751;49;28817;43;28818;27
5814173;5952969;384;26858;114;72;27246;93;73;27179;109;74;27179;56;33441;48;33430;32
5814174;5952969;393;27536;118;75;27867;98;83;27857;115;84;27857;57;34081;49;34070;33
5814175;5952969;395;27628;118;75;27867;98;84;27949;115;85;27949;56;32583;49;32572;32
5814176;5952969;364;25476;104;66;25904;127;114;30019;139;115;30019;54;30968;46;30957;30
5814201;5952969;312;21861;91;58;21935;59;38;21362;50;35;21362;38;22245;34;22245;21
5814202;5952969;316;22111;92;58;22118;61;42;21611;50;39;21611;38;21905;35;21905;21
5814203;5952969;323;22602;89;56;21508;67;49;22103;60;46;22103;37;22839;33;22839;21
5814204;5952969;308;21552;89;56;21508;66;52;21095;77;55;21222;37;21926;33;21926;21
5814205;5952969;304;21283;88;56;21135;62;48;20826;77;51;20953;37;21560;33;21560;20
5814206;5952969;304;21281;94;59;22076;62;48;20824;77;51;20950;36;21315;33;21315;20
5814207;5952969;306;21428;93;59;21870;64;50;20971;77;53;21098;38;21952;34;21952;21
5814208;5952969;308;21590;91;58;21553;66;53;21134;77;56;21260;38;22089;35;22089;21
5814209;5952969;314;21984;93;59;22097;90;77;22545;87;74;22545;40;23241;36;23241;23
5814210;5952969;313;21920;93;59;22097;90;76;22481;87;73;22481;40;23233;36;23233;23
5814211;5952969;316;22137;98;62;22712;90;79;22698;87;76;22698;46;25462;41;23685;25
5814212;5952969;317;22193;95;60;22338;88;70;24349;112;74;24349;46;24933;41;23157;25
5814213;5952969;312;21848;95;60;22338;88;70;24377;112;74;24377;46;24853;41;23077;25
5814214;5952969;307;21496;93;59;21645;82;67;23655;107;80;23288;45;24102;40;22326;24
5814215;5952969;305;21358;92;59;21544;82;65;23517;105;78;23150;44;24141;40;22365;24
5814216;5952969;301;21097;93;59;21832;85;69;23302;104;83;22934;45;23819;40;22043;25
5814217;5952969;302;21119;94;60;21731;85;69;23324;104;83;22956;45;23774;40;21998;24
5814218;5952969;303;21186;94;60;21731;85;70;23390;107;84;23023;45;24410;40;22634;24
5814219;5952969;306;21445;91;58;21140;101;91;23692;108;93;22858;45;24014;40;22238;25
5814220;5952969;304;21261;91;58;21140;100;88;23508;106;91;22674;45;24094;40;22318;25
5814221;5952969;323;22611;97;62;22622;128;112;24490;125;110;24024;45;25173;40;23397;25
5814222;5952969;323;22631;97;62;22622;128;113;24510;125;110;24044;47;25363;42;23587;26
5814223;5952969;319;22350;106;67;22419;121;105;23722;116;98;23722;47;24886;42;23110;26
5814224;5952969;319;22304;106;67;22419;121;104;23675;115;97;23675;47;24975;42;23198;27
5814225;5952969;351;24584;106;67;22436;151;139;27470;141;123;32888;48;26541;43;26541;27
5814226;5952969;348;24350;115;73;24193;148;135;44614;140;119;32654;48;26367;43;26367;27
5814227;5952969;343;24035;115;73;24193;141;130;44299;135;120;27436;47;26232;43;26232;28
5814253;5952969;321;22478;93;59;22148;75;67;23808;86;65;24815;41;24531;36;24532;22
5814254;5952969;324;22670;95;60;22737;90;74;24970;94;73;24970;41;24745;36;24746;22
5814255;5952969;323;22617;97;61;23098;89;73;24917;88;72;24917;41;24920;36;24921;22
5814256;5952969;342;23910;99;63;23622;84;77;24359;93;73;25391;43;25322;38;25324;23
5814257;5952969;348;24356;102;65;24222;91;83;24783;100;79;25816;43;25805;38;25807;23
5814258;5952969;344;24058;101;64;23956;87;78;24485;93;75;25517;43;25647;37;25649;23
5814259;5952969;347;24279;102;64;24088;89;81;24706;100;78;25738;43;25917;38;25918;23
5814260;5952969;361;25293;107;68;24617;97;89;26254;96;84;26795;45;28343;39;28344;24
5814261;5952969;358;25038;107;68;24617;96;85;25999;95;80;26540;45;27114;40;27116;25
5814262;5952969;356;24898;107;68;24499;89;77;25433;88;74;25356;45;26988;39;26989;24
5814263;5952969;354;24786;106;67;24384;88;76;25320;87;72;25244;45;27247;39;27248;24
