from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952922;446;31251;131;83;31067;163;150;44870;184;153;44870;60;38276;52;36591;35
5785641;5952922;428;29945;133;84;30049;170;153;45076;188;144;39017;62;38487;54;36801;35
5785642;5952922;429;30024;133;84;30049;173;154;45194;188;145;39134;62;38313;54;34852;35
5785643;5952922;433;30317;141;90;32109;184;159;45487;188;150;39427;62;40870;54;37408;35
5787544;5952922;439;30762;128;81;30527;161;143;44381;172;146;44381;59;37850;51;36165;34
5787545;5952922;440;30831;128;81;30527;161;144;44450;172;147;44450;59;38136;51;36451;34
5787546;5952922;444;31056;128;81;30527;163;147;44676;184;150;44676;62;37339;53;33878;34
5787547;5952922;426;29831;133;84;30049;178;160;45575;187;151;39516;62;37731;53;34269;34
5787548;5952922;423;29606;133;84;30049;175;156;45303;184;147;39243;62;37852;54;34390;34
5787549;5952922;425;29740;133;84;30049;178;160;45595;185;151;39535;62;38095;54;34634;35
5787550;5952922;462;32322;141;90;32109;200;161;56021;197;154;52508;62;40669;54;37207;35
5789447;5952922;407;28487;119;75;28429;121;103;35554;136;106;41614;55;35660;48;33975;31
5789448;5952922;411;28768;119;75;28432;121;104;35575;136;107;41634;55;36025;48;34340;31
5789449;5952922;416;29116;121;77;29122;121;105;35636;136;108;41695;56;36451;49;34766;32
5789450;5952922;443;30998;121;77;29122;163;146;44617;184;149;44617;56;36770;49;35084;32
5789451;5952922;443;31036;128;81;30527;163;147;44656;184;150;44656;59;38097;51;36412;34
5789452;5952922;418;29267;128;81;30527;176;154;42169;178;145;36110;61;37239;53;33777;34
5789453;5952922;419;29304;133;84;30049;175;155;42206;178;146;36146;62;37416;53;33954;34
5789454;5952922;420;29390;133;84;30049;175;156;42293;179;151;39525;61;37679;53;34218;34
5789455;5952922;422;29567;141;90;32142;181;159;42469;184;150;36409;62;37900;54;34439;35
5789456;5952922;459;32162;141;90;32142;194;159;55860;198;152;52347;68;40579;60;37117;41
5791353;5952922;415;29033;117;74;27990;124;108;35914;142;111;41974;54;35251;47;33565;31
5791354;5952922;411;28801;120;76;28761;121;105;35682;142;108;41742;56;35842;48;34157;32
5791355;5952922;412;28830;120;76;28674;115;100;35343;136;103;41403;56;36022;48;34337;31
5791356;5952922;415;29018;120;76;29055;121;105;35691;142;108;41751;56;36648;49;34962;32
5791357;5952922;416;29105;121;77;29122;124;108;35760;142;111;41819;56;36762;49;35076;32
5791358;5952922;417;29156;121;77;29122;172;153;42058;175;144;35998;56;36733;49;33272;32
5791359;5952922;414;28958;121;77;29122;166;150;41860;169;153;41860;61;37056;53;33595;34
5791360;5952922;414;29013;133;84;30049;169;151;41915;171;142;35855;61;37425;53;33963;34
5791361;5952922;420;29366;141;90;32142;176;156;42268;178;147;36208;61;37779;53;34317;34
5791362;5952922;424;29677;141;90;32142;181;160;42579;185;151;36520;62;38087;54;34626;35
5791363;5952922;459;32157;141;90;32142;194;159;55855;198;152;52342;68;40475;60;37013;41
5793258;5952922;420;29419;121;77;29235;136;114;36300;148;117;42360;56;36515;49;34830;32
5793259;5952922;416;29119;121;77;29179;128;110;36000;142;113;42060;56;36355;48;34670;32
5793260;5952922;416;29153;120;76;28765;128;110;36034;142;113;42094;56;36319;48;34634;32
5793261;5952922;412;28829;120;76;28842;121;104;35479;136;107;41539;56;36100;48;34414;32
5793262;5952922;410;28724;120;76;28884;121;104;35477;136;107;41537;56;36525;49;34839;32
5793263;5952922;411;28772;120;76;28884;128;109;35060;142;112;41120;56;37630;49;35945;32
5793264;5952922;410;28703;119;75;28596;166;146;41605;166;149;41605;61;36677;53;33216;34
5793265;5952922;411;28743;119;75;28534;166;147;41645;167;150;41645;61;37010;53;33548;34
5793266;5952922;411;28752;124;79;28579;166;147;41654;167;150;41654;61;37207;53;33745;34
5793267;5952922;422;29527;124;79;28579;181;158;42429;182;149;36370;61;38002;53;34540;34
5793268;5952922;427;29924;141;90;32142;190;167;42826;188;155;36767;62;38228;54;34767;35
5793269;5952922;457;32022;139;88;31662;206;168;56536;197;161;53023;67;37041;59;33579;40
5793270;5952922;455;31842;139;88;31662;200;166;56356;197;159;52843;67;39929;59;36468;40
5795164;5952922;421;29494;121;77;29179;136;115;36375;148;118;42435;56;36639;49;34954;32
5795165;5952922;423;29575;121;77;29179;136;116;36456;148;119;42516;56;38415;49;36730;32
5795166;5952922;422;29505;119;75;28572;136;115;36387;148;118;42446;60;38265;52;36579;34
5795167;5952922;407;28503;120;76;28809;121;105;34778;142;108;40837;57;36650;49;34965;32
5795168;5952922;407;28504;119;75;28596;121;105;34778;142;108;40838;58;37212;50;35527;33
5795169;5952922;408;28585;119;75;28596;121;106;34873;142;109;40932;58;37434;50;35749;33
5795170;5952922;406;28433;119;75;28534;166;142;41335;163;145;41335;58;36416;50;32954;33
5795171;5952922;405;28352;118;75;28437;166;141;41254;163;144;41254;61;36717;53;33256;34
5795172;5952922;410;28686;124;79;28579;166;146;41589;166;149;41589;61;37160;53;33698;34
5795173;5952922;413;28915;124;79;28579;166;149;41817;167;152;41817;61;37250;53;33789;34
5795174;5952922;410;28725;124;79;28579;166;147;41627;166;150;41627;61;36884;53;33423;34
5795175;5952922;409;28662;124;79;28579;166;146;41564;166;149;41564;61;37021;53;33559;34
5795176;5952922;455;31878;122;77;28390;200;166;56392;197;159;52879;62;36545;54;33083;35
5797069;5952922;393;27524;115;73;27299;153;111;34131;158;146;44412;-1;-1;-1;-1;-1
5797070;5952922;424;29692;115;73;27299;136;118;36573;148;121;42633;57;36917;50;35232;33
5797071;5952922;426;29809;119;75;28572;136;120;36690;148;123;42750;60;38317;52;36632;34
5797072;5952922;408;28594;119;75;28572;121;106;34869;142;109;40929;59;38034;51;36349;34
5797073;5952922;404;28310;119;75;28572;121;102;34584;136;105;40644;57;38119;50;36433;32
5797074;5952922;403;28192;118;75;28327;115;101;34480;136;104;40539;57;36983;49;35298;32
5797075;5952922;406;28400;119;75;28534;121;104;34688;136;107;40748;58;37316;50;35630;33
5797076;5952922;402;28116;118;75;28437;161;138;41018;160;141;41018;59;36363;51;32902;34
5797077;5952922;403;28243;118;75;28437;161;140;41145;161;143;41145;61;36795;53;33334;34
5797078;5952922;408;28577;124;79;28579;166;144;41479;163;147;41479;61;37333;53;33871;34
5797079;5952922;407;28484;124;79;28579;166;143;41386;163;146;41386;61;37169;53;33708;34
5797080;5952922;408;28528;124;79;28579;166;144;41431;163;147;41431;61;36380;53;32918;34
5797081;5952922;407;28514;124;79;28579;166;144;41417;163;147;41417;61;37000;53;33538;34
5797082;5952922;404;28308;122;77;28390;172;159;40856;171;157;52743;62;36532;54;33070;35
5798974;5952922;374;26151;111;70;25868;140;92;32758;142;126;34203;50;33061;43;31376;28
5798975;5952922;429;30052;124;78;29872;140;123;36934;160;126;42993;58;37264;50;35579;33
5798976;5952922;429;30047;124;78;29872;140;123;36928;160;126;42988;57;37152;50;35467;33
5798977;5952922;429;30054;119;75;28572;140;123;36935;160;126;42995;59;38357;51;36672;33
5798978;5952922;402;28124;117;74;27996;121;103;34408;136;106;40467;59;37829;51;36143;33
5798979;5952922;399;27948;117;74;27885;118;101;34231;136;104;40290;60;38187;52;36501;34
5798980;5952922;399;27948;117;74;28004;118;101;34231;136;104;40290;58;37347;50;35661;33
5798981;5952922;403;28220;118;75;28304;121;105;34502;142;108;40562;59;37734;51;36049;34
5798982;5952922;399;27948;118;75;28437;157;135;40850;155;138;40850;59;36224;51;32762;34
5798983;5952922;397;27823;118;75;28437;157;134;40725;154;137;40725;60;36164;52;32702;33
5798984;5952922;397;27816;121;77;27847;154;134;34658;154;137;40718;60;36155;52;32694;33
5798985;5952922;403;28181;121;77;27847;161;139;41083;160;142;41083;60;36047;52;32586;33
5798986;5952922;401;28043;124;79;28579;157;137;40945;158;140;40945;60;36313;52;32852;33
5798987;5952922;404;28299;124;79;28579;161;140;41201;163;143;41201;61;36773;53;33311;34
5798988;5952922;398;27892;120;76;27856;164;153;40440;167;154;39606;61;36007;53;32546;34
5800879;5952922;366;25654;110;70;25530;125;101;37910;131;119;33706;51;32782;44;31097;28
5800880;5952922;370;25933;111;70;25864;131;105;38189;136;123;33985;50;33057;43;31372;28
5800881;5952922;432;30257;111;70;25864;143;126;37138;160;129;43198;58;32717;50;31032;33
5800882;5952922;401;28036;124;78;29872;136;122;35177;152;125;41237;61;39860;53;38174;34
5800883;5952922;401;28072;118;75;28318;140;123;35213;158;126;41272;61;39637;53;37951;34
