from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952892;525;36757;141;89;36951;177;167;51705;201;170;51705;55;38163;48;38163;32
5785641;5952892;511;35740;149;94;36192;186;170;51911;205;158;46277;57;38374;50;38374;32
5785642;5952892;512;35819;149;94;36192;188;172;52028;205;159;46395;57;38200;50;36424;32
5785643;5952892;516;36112;158;100;38252;198;176;52321;205;163;46688;57;40757;50;38980;33
5787544;5952892;518;36267;138;87;36412;175;160;51216;189;163;51216;54;37737;48;37737;32
5787545;5952892;519;36336;138;87;36412;175;161;51284;189;164;51284;54;38023;48;38023;32
5787546;5952892;522;36562;138;87;36412;177;164;51510;201;167;51510;56;37226;50;35450;32
5787547;5952892;509;35626;149;94;36192;192;177;52410;202;165;46776;56;37617;50;35841;32
5787548;5952892;506;35400;149;94;36192;191;173;52137;199;161;46503;57;37739;50;35962;32
5787549;5952892;508;35534;149;94;36192;192;177;52430;199;165;46796;57;37982;50;36206;33
5787550;5952892;545;38117;158;100;38252;208;165;63026;212;169;59738;57;40556;50;38779;33
5789447;5952892;486;33993;129;82;34314;130;108;42560;153;124;48449;50;35547;44;35547;29
5789448;5952892;490;34273;129;82;34317;130;108;42581;153;124;48469;50;35912;44;35912;29
5789449;5952892;495;34621;131;83;35007;130;109;42641;153;125;48530;51;36338;45;36338;29
5789450;5952892;521;36504;131;83;35007;177;163;51452;201;166;51452;51;36656;45;36656;29
5789451;5952892;522;36542;138;87;36412;177;164;51490;201;167;51490;54;37984;48;37984;32
5789452;5952892;501;35062;138;87;36412;193;171;49004;193;159;43370;56;37126;49;35349;32
5789453;5952892;501;35098;149;94;36192;191;172;49040;193;160;43406;56;37302;50;35526;32
5789454;5952892;503;35185;149;94;36192;191;173;49127;195;165;46785;56;37566;50;35790;32
5789455;5952892;505;35361;158;100;38285;198;176;49303;199;163;43670;57;37787;50;36011;33
5789456;5952892;542;37956;158;100;38285;202;163;62866;213;167;59577;63;40466;56;38689;38
5791353;5952892;493;34539;127;81;33875;135;113;42920;159;129;48808;49;35137;43;35137;28
5791354;5952892;490;34306;130;82;34646;130;110;42688;159;125;48576;51;35729;45;35729;29
5791355;5952892;491;34336;130;82;34558;127;105;42349;153;121;48237;50;35909;44;35909;29
5791356;5952892;495;34684;131;83;35037;130;110;42697;159;125;48585;51;36534;45;36534;30
5791357;5952892;499;34900;131;83;35007;135;112;42765;159;128;48654;51;36648;45;36648;29
5791358;5952892;499;34951;131;83;35007;189;170;48893;190;157;43259;51;36620;45;34844;29
5791359;5952892;496;34753;131;83;35007;183;167;48695;185;170;48695;56;36943;49;35167;32
5791360;5952892;497;34807;149;94;36192;186;168;48749;187;155;43115;56;37311;49;35535;32
5791361;5952892;502;35161;158;100;38285;193;173;49103;193;160;43469;56;37666;49;35889;32
5791362;5952892;507;35472;158;100;38285;198;177;49414;199;165;43780;57;37974;50;36198;33
5791363;5952892;542;37951;158;100;38285;202;163;62860;213;167;59572;63;40361;56;38585;38
5793258;5952892;499;34924;131;83;35120;148;118;43306;165;134;49194;51;36402;45;36402;30
5793259;5952892;495;34624;131;83;35063;139;114;43006;159;130;48894;51;36242;45;36242;30
5793260;5952892;495;34659;130;82;34650;139;115;43040;159;130;48928;51;36206;45;36206;29
5793261;5952892;495;34619;131;83;34823;130;108;42485;153;124;48373;51;35986;45;35986;29
5793262;5952892;493;34519;131;83;34932;130;108;42483;153;124;48371;51;36411;45;36411;29
5793263;5952892;494;34566;131;83;34932;139;113;42066;159;129;47954;51;37517;45;37517;30
5793264;5952892;493;34497;134;85;34739;183;163;48440;183;166;48440;55;36564;49;34788;32
5793265;5952892;493;34538;134;85;34677;183;164;48480;184;167;48480;55;36897;49;35120;32
5793266;5952892;494;34547;141;89;34722;183;164;48489;184;167;48489;56;37094;49;35317;32
5793267;5952892;505;35322;141;89;34722;198;175;49264;199;163;43630;56;37889;49;36112;32
5793268;5952892;510;35719;158;100;38285;207;184;49661;205;168;44027;57;38115;50;36339;33
5793269;5952892;540;37817;155;98;37805;217;173;63542;212;176;60253;62;36927;55;35151;38
5793270;5952892;538;37636;155;98;37805;210;170;63361;212;174;60073;62;39816;55;38040;38
5795164;5952892;500;35000;131;83;35063;148;119;43381;165;135;49269;51;36526;45;36526;30
5795165;5952892;501;35081;131;83;35063;148;121;43462;165;136;49351;51;38302;45;38302;30
5795166;5952892;500;35011;136;86;34715;148;120;43392;165;135;49281;54;38151;48;38151;32
5795167;5952892;490;34298;131;83;34857;130;109;41784;159;125;47672;51;36537;45;36537;30
5795168;5952892;490;34298;134;85;34739;130;109;41784;159;125;47673;53;37099;47;37099;31
5795169;5952892;491;34379;134;85;34739;130;111;41879;159;126;47767;53;37321;47;37321;31
5795170;5952892;489;34228;134;85;34677;183;160;48170;180;163;48170;52;36303;46;34526;31
5795171;5952892;488;34146;134;85;34580;183;158;48089;180;161;48089;55;36604;49;34828;32
5795172;5952892;493;34481;141;89;34722;183;163;48423;183;166;48423;56;37046;49;35270;32
5795173;5952892;496;34710;141;89;34722;183;166;48652;184;169;48652;56;37137;49;35361;32
5795174;5952892;493;34519;141;89;34722;183;164;48461;183;167;48461;56;36771;50;34995;32
5795175;5952892;492;34457;141;89;34722;183;163;48399;183;166;48399;56;36908;50;35132;32
5795176;5952892;538;37673;138;88;34533;210;171;63398;212;174;60109;57;36432;50;34655;33
5797069;5952892;472;33029;124;79;33183;166;116;41137;174;164;51246;-1;-1;-1;-1;-1
5797070;5952892;503;35198;124;79;33183;148;122;43579;165;138;49468;52;36804;46;36804;31
5797071;5952892;504;35315;136;86;34715;148;124;43696;165;140;49585;54;38204;48;38204;32
5797072;5952892;491;34389;136;86;34715;130;110;41875;159;126;47763;54;37921;48;37921;31
5797073;5952892;487;34104;136;86;34715;130;106;41590;153;122;47478;52;38005;46;38005;30
5797074;5952892;486;33986;133;84;34470;127;105;41486;153;121;47374;52;36870;46;36870;30
5797075;5952892;488;34195;134;85;34677;130;108;41694;153;124;47582;52;37203;46;37203;31
5797076;5952892;484;33911;134;85;34580;178;155;47853;176;158;47853;53;36250;47;34474;31
5797077;5952892;486;34038;134;85;34580;178;157;47980;177;160;47980;55;36682;49;34906;32
5797078;5952892;491;34371;141;89;34722;183;162;48313;180;165;48313;56;37220;49;35443;32
5797079;5952892;490;34278;141;89;34722;183;160;48220;180;163;48220;56;37056;49;35280;32
5797080;5952892;490;34323;141;89;34722;183;161;48265;180;164;48265;56;36267;50;34490;32
5797081;5952892;490;34309;141;89;34722;183;161;48251;180;164;48251;56;36887;50;35111;32
5797082;5952892;487;34103;138;88;34533;186;169;63261;186;165;43580;57;36419;50;34642;33
5798974;5952892;452;31656;121;77;31752;156;96;39764;154;136;41223;45;32948;40;32948;25
5798975;5952892;508;35558;133;84;35756;152;127;43939;177;143;49828;52;37151;46;37151;31
5798976;5952892;508;35552;133;84;35756;152;127;43934;177;143;49822;52;37039;46;37039;31
5798977;5952892;508;35559;136;86;34715;152;127;43941;177;143;49829;54;38244;47;38244;31
5798978;5952892;485;33919;133;84;34139;130;108;41413;153;123;47302;54;37715;47;37715;31
5798979;5952892;482;33742;133;84;34029;129;105;41236;153;121;47125;54;38074;48;38074;32
5798980;5952892;482;33742;133;84;34148;129;105;41237;153;121;47125;52;37233;46;37233;31
5798981;5952892;486;34014;134;85;34448;130;109;41508;159;125;47397;53;37621;47;37621;31
5798982;5952892;482;33743;134;85;34580;174;153;47685;171;156;47685;53;36110;47;34334;31
5798983;5952892;480;33617;134;85;34580;174;151;47560;170;154;47560;55;36051;48;34274;31
5798984;5952892;480;33610;138;87;33990;170;138;41664;170;154;47552;55;36042;48;34266;31
5798985;5952892;485;33975;138;87;33990;178;156;47917;176;159;47917;55;35934;48;34158;31
5798986;5952892;483;33837;141;89;34722;174;154;47779;173;157;47779;55;36200;48;34424;31
5798987;5952892;487;34093;141;89;34722;178;158;48035;180;161;48035;56;36660;50;34883;32
5798988;5952892;481;33687;136;86;33999;180;170;63327;181;159;43164;55;35894;49;34118;32
5800879;5952892;445;31160;120;76;31415;144;116;39096;145;128;40727;45;32669;40;32669;26
5800880;5952892;449;31439;121;76;31748;150;120;39375;150;132;41006;45;32944;40;32944;25
5800881;5952892;511;35763;121;76;31748;157;130;44144;177;146;50032;52;32604;46;32604;31
5800882;5952892;483;33831;133;84;35756;148;127;42183;168;142;48071;56;39746;49;39746;32
5800883;5952892;484;33867;135;85;34461;152;127;42219;174;143;48107;56;39523;49;39523;32
5800884;5952892;483;33788;133;84;34138;130;106;41306;153;122;47194;53;37532;47;37532;31
5800885;5952892;479;33524;133;84;34127;123;103;41079;153;119;46967;53;37235;46;37235;31
5800886;5952892;477;33376;133;84;34124;127;105;41222;153;121;47111;53;37526;47;37526;31
5800887;5952892;479;33496;134;85;34448;130;109;41496;153;125;47384;53;37610;47;37610;31
5800888;5952892;471;32954;134;85;33237;157;129;41008;165;144;46896;54;35226;47;33450;30
5800889;5952892;477;33358;134;85;33237;165;134;41412;168;150;47300;55;35815;48;34039;31
5800890;5952892;478;33434;135;85;33361;165;135;41487;169;151;47376;55;35728;48;33952;31
5800891;5952892;481;33645;138;87;33933;174;151;47587;171;154;47587;55;35605;48;33829;31
