from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5952889;566;39586;161;102;39671;214;191;47530;241;211;54540;59;40936;53;40936;36
5785641;5952889;551;38569;169;107;38912;221;194;47736;243;188;48688;61;41147;55;41147;36
5785642;5952889;552;38648;169;107;38912;221;196;47854;243;190;48806;61;40974;55;39197;36
5785643;5952889;556;38941;178;112;40972;235;200;48147;243;194;49099;62;43530;55;41754;36
5787544;5952889;559;39097;158;100;39132;209;184;47041;229;204;54051;58;40510;52;40510;35
5787545;5952889;560;39166;158;100;39132;209;185;47110;229;205;54120;58;40797;52;40797;35
5787546;5952889;563;39391;158;100;39132;214;189;47336;241;208;54346;61;40000;54;38223;36
5787547;5952889;549;38455;169;107;38912;226;201;48235;239;196;49187;61;40391;54;38614;36
5787548;5952889;546;38230;169;107;38912;226;198;47963;234;192;48915;61;40512;55;38736;36
5787549;5952889;548;38364;169;107;38912;226;202;48255;234;196;49207;62;40755;55;38979;36
5787550;5952889;585;40946;178;112;40972;236;187;65692;251;208;62180;62;43329;55;41553;36
5789447;5952889;526;36822;148;94;37033;159;130;45226;193;164;51284;54;38320;48;38320;33
5789448;5952889;530;37102;148;94;37036;159;130;45247;193;164;51304;54;38685;49;38685;33
5789449;5952889;535;37451;150;95;37726;159;131;45307;193;165;51365;56;39111;50;39111;33
5789450;5952889;562;39333;150;95;37726;214;188;47277;241;207;54287;56;39430;50;39430;33
5789451;5952889;562;39371;158;100;39132;214;188;47316;241;207;54325;58;40757;52;40757;35
5789452;5952889;541;37891;158;100;39132;230;211;51841;230;190;45782;60;39899;54;38123;36
5789453;5952889;542;37927;169;107;38912;226;211;51878;230;190;45818;61;40076;54;38299;36
5789454;5952889;543;38014;169;107;38912;226;202;48245;230;196;49197;61;40340;54;38563;36
5789455;5952889;546;38191;178;112;41005;235;215;52141;234;194;46081;62;40561;55;38784;36
5789456;5952889;583;40786;178;112;41005;230;185;65532;251;206;55612;68;43239;61;41463;42
5791353;5952889;534;37368;147;93;36594;165;135;45586;199;169;51644;54;37911;48;37911;32
5791354;5952889;531;37136;149;95;37365;159;132;45354;199;166;51412;55;38502;49;38502;33
5791355;5952889;531;37165;149;94;37278;159;127;45015;193;161;51073;55;38683;49;38683;33
5791356;5952889;536;37513;151;95;37756;159;132;45363;199;166;51420;56;39308;50;39308;33
5791357;5952889;539;37729;150;95;37726;165;135;45431;199;169;51489;56;39422;50;39422;33
5791358;5952889;540;37780;150;95;37726;226;209;51730;225;188;45670;56;39393;50;37617;33
5791359;5952889;537;37582;150;95;37726;223;206;51532;223;213;55566;60;39717;54;37940;36
5791360;5952889;538;37636;169;107;38912;224;207;51586;224;186;45527;60;40085;54;38308;36
5791361;5952889;543;37990;178;112;41005;230;212;51940;230;191;45880;60;40439;54;38663;36
5791362;5952889;547;38301;178;112;41005;235;217;52251;234;196;46191;61;40747;55;38971;36
5791363;5952889;583;40780;178;112;41005;230;185;65527;251;206;55607;68;43135;61;41358;42
5793258;5952889;539;37754;151;95;37839;181;141;45972;205;175;52030;56;39175;50;39175;34
5793259;5952889;535;37454;150;95;37783;170;136;45672;199;170;51729;55;39015;49;39015;33
5793260;5952889;536;37488;149;94;37369;170;137;45706;199;171;51764;55;38979;49;38979;33
5793261;5952889;535;37448;150;95;37543;159;131;45151;193;165;51208;55;38760;49;38760;33
5793262;5952889;534;37348;150;95;37652;159;131;45149;193;165;51206;56;39185;50;39185;33
5793263;5952889;534;37396;150;95;37652;170;135;44732;199;170;50789;56;40291;50;40291;33
5793264;5952889;533;37327;154;97;37459;223;203;51277;223;210;55310;60;39338;54;37561;35
5793265;5952889;534;37367;153;97;37397;223;203;51317;223;210;55351;60;39670;54;37894;35
5793266;5952889;534;37376;160;101;37442;223;204;51326;223;210;55360;60;39867;54;38091;36
5793267;5952889;545;38151;160;101;37442;235;215;52101;234;194;46041;60;40662;54;38886;36
5793268;5952889;551;38548;178;112;41005;244;224;52496;243;199;46439;61;40889;55;39112;36
5793269;5952889;581;40646;175;111;40524;247;195;66208;251;216;62695;67;39701;60;37924;42
5793270;5952889;578;40466;175;111;40524;239;192;66027;251;213;62515;67;42590;60;40813;42
5795164;5952889;540;37829;150;95;37783;181;142;46047;205;176;52104;56;39299;50;39299;34
5795165;5952889;542;37910;150;95;37783;181;143;46128;205;177;52186;56;41075;50;41075;34
5795166;5952889;541;37840;155;98;37435;181;142;46058;205;176;52116;59;40925;53;40925;36
5795167;5952889;530;37127;150;95;37576;159;131;44450;199;166;50507;56;39310;50;39310;34
5795168;5952889;530;37128;154;97;37459;159;131;44450;199;166;50508;57;39872;51;39872;35
5795169;5952889;532;37208;154;97;37459;159;133;44545;199;167;50602;57;40095;51;40095;35
5795170;5952889;529;37057;153;97;37397;223;199;51007;220;206;55041;57;39076;51;37300;35
5795171;5952889;528;36976;154;97;37299;223;198;50926;220;205;54960;60;39377;54;37601;35
5795172;5952889;533;37310;160;101;37442;223;203;51260;223;209;55294;60;39820;54;38043;36
5795173;5952889;536;37539;160;101;37442;223;206;51489;223;213;55523;60;39911;54;38134;36
5795174;5952889;534;37348;160;101;37442;223;203;51299;223;210;55332;61;39545;54;37768;36
5795175;5952889;533;37286;160;101;37442;223;202;51236;223;209;55270;61;39681;54;37905;36
5795176;5952889;579;40502;158;100;37252;239;193;66064;251;214;62551;61;39205;55;37429;37
5797069;5952889;512;35858;144;91;35903;195;138;43803;206;182;45247;-1;-1;-1;-1;-1
5797070;5952889;543;38027;144;91;35903;181;145;46245;205;179;52303;57;39578;51;39578;35
5797071;5952889;545;38144;155;98;37435;181;146;46362;205;180;52420;59;40978;53;40978;36
5797072;5952889;532;37218;155;98;37435;159;133;44541;199;167;50598;58;40694;52;40694;35
5797073;5952889;528;36933;155;98;37435;159;129;44256;193;163;50314;57;40779;50;40779;34
5797074;5952889;526;36815;153;97;37189;159;127;44152;193;161;50209;56;39643;50;39643;34
5797075;5952889;529;37024;153;97;37397;159;130;44360;193;164;50418;57;39976;51;39976;35
5797076;5952889;525;36740;154;97;37299;218;194;50690;214;201;54724;58;39023;52;37247;35
5797077;5952889;527;36867;154;97;37299;218;196;50817;216;203;54850;60;39456;54;37679;35
5797078;5952889;531;37200;160;101;37442;223;201;51150;220;208;55184;60;39993;54;38217;36
5797079;5952889;530;37108;160;101;37442;223;200;51058;220;207;55091;60;39830;54;38053;36
5797080;5952889;531;37152;160;101;37442;223;200;51102;220;207;55136;61;39040;54;37264;36
5797081;5952889;531;37138;160;101;37442;223;200;51088;220;207;55122;61;39660;54;37884;36
5797082;5952889;528;36932;158;100;37252;217;191;65927;216;187;46246;61;39192;55;37416;37
5798974;5952889;493;34486;140;89;34472;190;118;42430;181;158;43889;49;35721;44;35721;29
5798975;5952889;548;38387;153;97;38476;185;150;46606;217;184;52663;57;39925;51;39925;35
5798976;5952889;548;38382;153;97;38476;185;150;46600;217;184;52658;57;39812;51;39812;35
5798977;5952889;548;38389;155;98;37435;185;150;46607;217;184;52664;58;41018;52;41018;35
5798978;5952889;525;36748;153;97;36859;159;130;44079;193;164;50137;58;40489;52;40489;35
5798979;5952889;522;36572;153;97;36748;159;127;43902;193;161;49960;59;40847;53;40847;36
5798980;5952889;522;36572;153;97;36867;159;127;43903;193;161;49960;57;40007;51;40007;34
5798981;5952889;526;36843;153;97;37167;159;131;44174;199;165;50232;58;40395;52;40395;35
5798982;5952889;522;36572;154;97;37299;214;192;50522;208;193;56842;58;38884;52;37107;35
5798983;5952889;521;36447;154;97;37299;214;190;50397;208;197;54430;59;38824;53;37048;35
5798984;5952889;521;36440;157;100;36709;208;160;44330;208;197;54424;59;38815;53;37039;35
5798985;5952889;526;36804;157;100;36709;218;195;50754;214;202;54788;59;38708;53;36931;35
5798986;5952889;524;36666;160;101;37442;214;193;50616;210;200;54650;59;38973;53;37197;35
5798987;5952889;527;36922;160;101;37442;218;197;50872;220;204;54906;61;39433;54;37657;36
5798988;5952889;522;36516;156;98;36718;217;192;65993;210;181;45830;60;38668;54;36891;36
5800879;5952889;486;33989;139;88;34134;179;155;41934;173;151;43393;50;35442;45;35442;30
5800880;5952889;490;34268;140;89;34468;185;159;42212;179;155;43672;49;35717;44;35717;29
5800881;5952889;551;38592;140;89;34468;191;153;46810;217;187;52868;57;35378;51;35378;35
5800882;5952889;524;36660;153;97;38476;181;149;44849;207;183;50906;60;42520;54;42520;36
5800883;5952889;524;36696;154;98;37181;185;149;44885;213;183;50942;60;42297;54;42297;35
5800884;5952889;523;36617;153;97;36858;159;128;43972;193;162;50030;58;40305;51;40305;35
5800885;5952889;519;36353;153;97;36846;153;125;43745;193;159;49803;57;40008;51;40008;34
5800886;5952889;517;36205;153;97;36844;159;127;43888;193;161;49946;57;40299;51;40299;34
5800887;5952889;519;36326;153;97;37167;159;131;44162;193;165;50219;57;40384;51;40384;34
5800888;5952889;511;35783;154;97;35957;191;151;43674;204;188;53767;58;38000;52;36223;34
5800889;5952889;517;36187;154;97;35957;202;157;44078;208;193;54171;59;38589;53;36812;35
5800890;5952889;518;36263;154;98;36080;202;158;44154;208;194;54247;59;38502;53;36725;35
5800891;5952889;521;36474;157;99;36653;214;191;50424;208;191;56744;59;38379;53;36602;35
5800892;5952889;520;36411;157;100;36709;208;160;44301;208;197;54394;59;38853;53;37076;35
5800893;5952889;522;36572;157;100;36709;214;192;50522;208;193;56842;59;39394;53;37617;35
5800894;5952889;520;36426;156;98;36718;215;194;49188;209;180;45740;60;38674;54;36897;36
5800895;5952889;517;36186;155;98;36550;214;191;48948;205;177;45500;60;38574;53;36798;36
5802783;5952889;484;33891;138;88;33884;175;154;41836;169;149;43295;50;35439;45;35439;30
5802784;5952889;482;33772;138;88;33884;173;152;41716;169;148;43175;50;35410;45;35410;30
5802785;5952889;486;34050;140;89;34455;181;156;41995;173;152;43454;50;34916;45;34916;30
5802786;5952889;526;36797;140;89;34468;191;151;44986;213;185;51044;60;35130;54;35130;36
5802787;5952889;522;36560;140;89;34468;181;147;44749;207;182;50806;60;42331;54;42331;35
5802788;5952889;519;36362;154;98;37190;181;145;44551;205;179;50608;60;42084;53;42084;35
5802789;5952889;519;36363;154;98;37190;181;145;44551;205;179;50609;58;40546;52;40546;35
5802790;5952889;520;36431;154;98;37241;159;129;43994;193;163;50052;58;40069;52;40069;35
5802791;5952889;513;35933;151;95;36269;159;127;43352;193;162;49410;57;40342;51;40342;34
5802792;5952889;517;36169;151;95;36269;159;131;43588;193;165;49646;58;40645;52;40645;35
5802793;5952889;508;35555;154;97;35957;181;148;43446;198;184;53539;58;37941;52;36165;34
5802794;5952889;513;35891;154;97;35957;191;152;43781;204;189;53874;59;38226;52;36450;34
5802795;5952889;513;35891;154;98;36080;191;152;43782;204;189;53875;59;38227;53;36451;35
5802796;5952889;514;36005;157;99;36640;191;154;43895;204;191;53989;59;38423;53;36647;35
5802797;5952889;520;36366;157;100;36695;202;159;44257;208;196;54350;59;38744;53;36968;35
5802798;5952889;522;36541;156;98;36366;214;192;50491;208;192;56810;60;38487;53;36710;35
5802799;5952889;512;35869;153;97;36131;206;186;48631;203;172;45183;59;37987;52;36211;35
5802800;5952889;511;35790;153;97;36229;206;185;48552;202;171;45104;59;38155;53;36379;35
5802801;5952889;517;36158;154;98;36399;214;190;48920;205;176;45472;59;38514;53;36738;35
5804689;5952889;482;33725;136;86;33791;167;152;41670;166;138;42532;51;35130;46;35130;30
5804690;5952889;479;33554;137;86;33565;169;149;41499;167;144;42958;50;35122;45;35122;30
5804691;5952889;482;33755;144;91;33776;179;157;42023;169;150;41856;49;35106;44;35106;29
5804692;5952889;485;33947;146;93;33865;185;159;42216;173;152;42048;51;35545;45;35545;30
5804693;5952889;522;36561;146;93;33865;181;147;44750;207;182;50807;60;42395;53;42395;35
5804694;5952889;516;36122;155;98;37369;181;141;44311;205;175;50368;60;42001;53;42001;35
5804695;5952889;515;36048;155;98;37369;181;140;44236;201;174;50294;58;40633;52;40633;35
5804696;5952889;511;35772;150;95;35991;153;126;43217;193;160;49275;59;41082;52;41082;34
5804697;5952889;510;35703;150;95;36029;153;124;43122;193;158;49180;58;40678;52;40678;34
5804698;5952889;518;36231;152;96;36627;159;132;43650;199;166;49708;58;40746;52;40746;35
5804699;5952889;505;35333;153;97;35714;181;144;43224;196;181;53317;58;37657;52;35881;34
5804700;5952889;504;35292;152;96;35582;181;144;43182;196;181;53275;58;37597;52;35821;34
5804701;5952889;508;35542;154;97;36065;181;147;43432;198;184;53525;58;37987;52;36210;34
5804702;5952889;509;35605;152;96;35716;181;148;43496;198;185;53589;59;37805;53;36029;35
5804703;5952889;511;35755;156;98;36366;191;150;43645;204;187;53738;59;37980;53;36203;35
5804704;5952889;513;35903;156;98;36366;191;152;43793;204;189;53887;59;38379;53;36602;35
5804705;5952889;509;35625;156;98;36366;205;183;48387;202;169;44939;59;37801;53;36025;35
5804706;5952889;508;35585;153;97;36125;205;182;48347;202;168;44899;59;38090;52;36314;35
5804707;5952889;512;35859;154;98;36399;206;186;48621;203;172;45173;59;38604;53;36827;35
5806593;5952889;482;33740;134;85;33883;166;146;42079;157;132;42094;51;35227;46;35227;30
5806594;5952889;477;33370;136;86;33476;167;147;41315;166;137;42452;50;34880;45;34880;30
5806595;5952889;476;33337;137;87;33374;169;146;41281;167;141;42740;50;34762;44;34762;30
5806596;5952889;479;33521;144;91;33776;173;153;41790;167;146;41622;48;34489;44;34489;29
5806597;5952889;484;33896;146;93;33865;181;159;42165;173;152;41998;52;35398;47;35398;32
5806598;5952889;489;34207;151;95;33833;190;119;42475;179;156;42308;51;35630;46;35630;31
5806599;5952889;514;35958;151;95;36062;181;139;44147;201;173;50205;59;41751;53;41751;35
5806600;5952889;510;35730;151;95;36062;170;136;43919;199;170;49977;59;41608;52;41608;34
5806601;5952889;508;35532;150;95;35991;159;127;43330;193;161;49387;59;41004;52;41004;34
5806602;5952889;512;35814;151;95;36225;153;126;43259;193;160;49317;58;40816;52;40816;34
5806603;5952889;514;35962;151;95;36269;159;128;43408;193;162;49465;59;37603;52;35826;35
5806604;5952889;505;35329;151;96;35433;181;144;43219;196;181;53313;57;37540;51;35764;34
5806605;5952889;500;35016;151;96;35433;181;140;42906;196;177;53000;58;37403;51;35626;34
5806606;5952889;503;35203;152;96;35707;181;142;43094;196;179;53187;58;37464;51;35687;34
5806607;5952889;506;35386;152;96;35713;181;145;43276;196;182;53370;58;37826;52;36049;34
5806608;5952889;510;35706;153;97;35932;185;150;43596;204;187;53690;58;38170;52;36394;34
5806609;5952889;515;36026;156;98;36366;197;154;43917;204;191;54010;59;38351;53;36574;35
5806610;5952889;504;35269;151;95;35476;199;178;48032;191;164;44583;58;37538;52;35761;34
5806611;5952889;506;35429;151;95;35476;204;180;48191;196;166;44743;58;37943;52;36167;34
5806612;5952889;510;35676;152;96;35690;205;183;48438;202;169;44990;58;38093;52;36317;35
5806613;5952889;533;37292;158;100;37424;227;206;43994;216;192;46606;61;39392;55;37615;37
5808496;5952889;478;33454;132;84;33669;161;137;41714;155;127;41729;52;35157;46;35157;31
5808497;5952889;487;34067;135;85;34190;167;147;42431;161;137;42446;52;35606;47;35606;31
5808498;5952889;485;33963;136;86;34059;167;149;42553;166;139;42567;52;35396;46;35396;31
5808499;5952889;473;33122;138;87;33338;169;148;41390;167;140;41223;50;34621;44;34621;30
5808500;5952889;477;33413;152;96;34127;173;152;41681;167;145;41514;51;34226;46;34226;31
5808501;5952889;489;34247;156;98;34282;190;120;42516;179;157;42348;52;35708;47;35708;31
5808502;5952889;489;34259;151;95;33833;190;120;42528;179;157;42360;52;35906;46;35906;31
5808503;5952889;515;36056;149;94;33737;181;140;44245;201;174;50302;52;41880;46;41880;31
5808504;5952889;511;35744;151;95;36062;170;136;43933;199;170;49990;59;41500;52;41500;34
5808505;5952889;505;35364;149;94;35711;159;130;43553;193;164;49611;58;41179;52;41179;34
5808506;5952889;504;35279;149;94;35642;159;130;43541;193;164;49599;58;41319;52;35796;34
5808507;5952889;501;35061;151;96;35488;181;138;42759;195;175;52896;59;37377;52;35600;34
5808508;5952889;498;34876;150;95;35200;165;135;42574;195;173;52711;57;37078;51;35301;34
5808509;5952889;497;34819;149;95;35094;170;137;42710;195;174;52803;57;37153;51;35377;34
5808510;5952889;502;35120;150;95;35204;181;141;43011;196;178;53104;58;37642;52;35866;34
5808511;5952889;500;35000;153;97;35932;181;140;42890;196;176;52983;58;38044;52;36267;34
5808512;5952889;503;35243;153;97;35932;199;177;48005;191;163;44557;58;38229;52;36453;34
5808513;5952889;501;35042;149;94;35201;190;159;42578;190;160;44356;58;37028;51;35251;34
5808514;5952889;499;34957;151;95;35476;190;158;42493;181;159;44271;58;37288;51;35511;34
5808515;5952889;504;35248;152;96;35690;199;177;48010;191;163;44562;58;37552;52;35775;35
5808516;5952889;507;35485;157;100;36236;205;181;48248;196;167;44799;59;38011;52;36235;35
5808517;5952889;513;35897;157;100;36236;204;180;48734;199;167;45348;59;38197;52;36420;35
5808518;5952889;518;36282;157;100;36236;205;185;49119;205;172;45733;61;39671;55;37895;37
5810399;5952889;474;33190;131;83;33367;157;133;41450;149;123;41465;50;34761;45;34761;30
5810400;5952889;477;33368;132;83;33497;161;136;41628;151;126;41643;52;35188;47;35188;31
5810401;5952889;489;34255;135;85;34268;167;150;42620;167;140;42634;52;35742;47;35742;31
5810402;5952889;469;32801;135;85;34268;167;150;41532;161;136;40902;52;34267;47;34267;31
5810403;5952889;470;32872;144;91;33296;167;150;41546;161;137;40973;49;34595;44;34595;29
5810404;5952889;479;33518;156;98;34282;173;153;41787;167;146;41619;50;34233;45;34233;30
5810405;5952889;490;34304;156;98;34282;190;121;42573;181;157;42405;52;35860;46;35860;31
5810406;5952889;492;34409;149;94;33737;190;122;42678;181;159;42511;52;35955;47;35955;32
5810407;5952889;494;34574;148;94;33554;190;124;42843;194;167;42661;58;38048;52;36272;34
5810408;5952889;510;35679;150;95;35655;165;135;43868;199;169;49926;58;37714;52;35937;34
5810409;5952889;501;35068;148;94;35517;159;127;42513;193;161;48570;58;37338;51;35562;34
5810410;5952889;498;34878;148;93;35230;153;124;42324;193;159;48381;57;37160;51;35384;33
5810411;5952889;502;35132;148;93;35250;181;139;42830;196;176;52968;57;37325;51;35548;34
5810412;5952889;494;34583;149;94;35127;159;131;42281;184;165;48339;57;37020;51;35244;34
5810413;5952889;492;34426;147;93;34698;159;131;42316;186;168;52409;57;36807;51;35031;33
5810414;5952889;494;34597;149;94;35015;159;134;42487;186;171;52581;57;37070;51;35294;34
5810415;5952889;500;35004;149;94;35015;181;140;42895;196;176;52988;58;37386;51;35610;34
